Team Game #,Date,Plate Appearances,At Bats,Hits,Home Runs,RBI,Walks,Strikeouts
1,Apr 4,3,2,0,0,0,1,0
2,Apr 5,4,4,2,0,1,0,1
4,Apr 7,3,1,0,0,1,1,0
5,Apr 8,5,5,2,0,1,0,0
6,Apr 9,4,4,1,0,0,0,0
7,Apr 10,4,4,0,0,0,0,1
8,Apr 11,4,4,2,0,1,0,2
9,Apr 12,4,4,3,0,1,0,0
11,Apr 14,4,3,1,0,1,1,0
12,Apr 15,3,2,1,0,0,1,0
13,Apr 16,4,4,1,0,1,0,0
14,Apr 19,4,3,2,0,1,0,0
15,Apr 20,4,4,1,0,0,0,1
16,Apr 21,4,4,1,0,1,0,2
17,Apr 22,4,4,0,0,0,0,1
18,Apr 23,5,4,1,0,2,0,0
19,Apr 24,4,4,2,0,0,0,0
20,Apr 25,3,3,0,0,0,0,1
21,Apr 26,4,4,3,0,1,0,0
22,Apr 27,3,3,1,0,1,0,0
23,Apr 29,3,2,0,0,0,1,0
24,Apr 30,4,4,1,0,0,0,0
25,May 1,4,4,1,0,0,0,0
26,May 2,4,4,0,0,0,0,1
27,May 3,4,4,0,0,0,0,1
28,May 4,4,4,1,0,0,0,0
30,May 6,4,4,2,0,1,0,0
31,May 7,4,4,0,0,0,0,1
32,May 8,5,4,2,0,0,0,1
33,May 9,5,3,0,0,0,2,0
34,May 10,5,5,2,0,0,0,0
35,May 11,4,4,0,0,0,0,1
36,May 13,3,3,1,0,0,0,1
37,May 14,4,3,1,0,0,1,0
38,May 15,4,3,1,0,0,1,0
39,May 16,4,3,1,0,0,1,1
41,May 18,3,3,1,0,0,0,0
42,May 20,3,3,1,0,0,0,0
43,May 21,4,4,1,1,1,0,1
44,May 22,4,4,1,0,0,0,2
45,May 23,4,3,1,0,0,1,0
46,May 24,3,3,1,0,1,0,0
47,May 25,5,4,2,0,1,1,0
48,May 27,4,4,0,0,0,0,0
49,May 28,4,4,0,0,0,0,1
51,May 30,4,4,3,0,1,0,0
52,May 31,4,4,1,0,0,0,1
53,Jun 1,5,5,2,0,0,0,2
54,Jun 3,4,4,1,0,0,0,0
55,Jun 4,5,4,2,1,3,1,0
56,Jun 5,3,3,0,0,0,0,0
57,Jun 6,4,3,0,0,0,1,0
58,Jun 7,3,3,0,0,0,0,1
59,Jun 8,4,4,1,0,0,0,1
60,Jun 9,4,3,0,0,0,1,0
61,Jun 10,4,4,0,0,0,0,1
62,Jun 11,5,4,1,0,0,1,0
63,Jun 12,4,4,3,0,2,0,0
64,Jun 13,4,4,2,0,1,0,0
65,Jun 14,5,5,3,1,2,0,1
66,Jun 15,4,4,0,0,0,0,0
67,Jun 16,4,4,0,0,0,0,3
68,Jun 17,4,3,0,0,0,1,0
70,Jun 19,4,4,2,0,0,0,0
71,Jun 20,4,4,3,0,0,0,0
72,Jun 21,3,3,0,0,0,0,1
73,Jun 22,3,3,0,0,0,0,0
74,Jun 24,5,5,3,0,2,0,1
75,Jun 25,4,2,1,0,3,2,0
76,Jun 26,4,3,0,0,0,1,0
77,Jun 27,5,4,1,0,2,1,2
78,Jun 28,4,4,0,0,0,0,1
79,Jun 29,4,3,1,0,1,1,0
81,Jul 1,4,3,0,0,0,1,1
82,Jul 2,4,3,1,0,1,0,0
83,Jul 3,4,4,1,0,1,0,0
84,Jul 4,4,4,2,0,0,0,0
85,Jul 5,4,2,2,0,1,1,0
86,Jul 6,4,3,0,0,0,1,1
87,Jul 7,4,4,2,0,1,0,1
88,Jul 8,4,3,1,0,1,1,2
89,Jul 9,4,4,2,1,2,0,0
90,Jul 10,2,2,1,0,1,0,0
91,Jul 15,4,4,0,0,0,0,0
92,Jul 16,3,3,1,0,1,0,0
93,Jul 17,4,4,1,0,1,0,2
95,Jul 19,4,4,3,0,1,0,0
96,Jul 20,4,3,0,0,0,1,1
97,Jul 22,4,3,0,0,0,1,2
98,Jul 23,4,3,1,0,0,1,0
99,Jul 24,4,2,1,0,0,0,0
100,Jul 25,4,2,0,0,0,2,1
102,Jul 27,4,4,2,0,0,0,0
103,Jul 28,3,3,0,0,0,0,0
104,Jul 29,4,4,0,0,0,0,0
105,Jul 30,3,3,2,0,0,0,0
107,Aug 2,3,2,1,0,1,0,0
108,Aug 3,3,3,1,0,0,0,1
109,Aug 4,4,4,1,0,0,0,0
110,Aug 5,3,3,0,0,0,0,0
111,Aug 6,4,4,3,0,0,0,0
112,Aug 7,0,0,0,0,0,0,0
113,Aug 8,4,3,1,0,2,1,0
114,Aug 9,4,4,2,0,1,0,1
115,Aug 10,4,4,1,0,0,0,1
116,Aug 11,5,4,1,0,1,1,0
117,Aug 12,4,4,0,0,0,0,0
118,Aug 13,3,3,0,0,0,0,1
120,Aug 15,4,3,1,0,1,1,0
121,Aug 16,4,3,0,0,1,0,1
122,Aug 17,4,4,3,0,0,0,0
123,Aug 19,4,3,1,0,0,1,0
124,Aug 20,4,3,2,0,0,1,0
125,Aug 21,4,4,1,0,0,0,1
126,Aug 23,4,3,1,0,0,1,0
127,Aug 24,3,3,1,0,0,0,0
128,Aug 25,4,3,1,0,0,1,1
129,Aug 26,3,3,0,0,0,0,0
130,Aug 27,4,4,2,0,2,0,0
131,Aug 28,3,2,0,0,0,1,0
132,Aug 29,3,3,1,0,0,0,1
133,Aug 30,4,3,0,0,1,0,1
134,Aug 31,4,3,1,0,1,0,0
135,Sep 2,4,3,2,0,2,1,0
136,Sep 3,4,4,1,0,0,0,1
138,Sep 5,4,3,0,0,0,1,1
139,Sep 6,6,6,4,1,2,0,1
140,Sep 7,4,4,0,0,0,0,1
141,Sep 8,4,4,1,0,0,0,2
142,Sep 9,4,3,1,0,1,1,0
143,Sep 10,4,2,0,0,0,1,1
145,Sep 12,5,5,0,0,0,0,1
146,Sep 13,4,4,2,0,1,0,0
147,Sep 14,4,4,2,0,0,0,2
