averagePick,draftsSelectedIn,id,maxPick,minPick,name,position,status,team,TEAM_COUNT,PPR_FLG,YEAR,SRC_ADP,SRC_PLYR
2.92,577,9448,62,1,"McCoy, LeSean",RB,,PHI,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
4.01,576,8658,77,1,"Peterson, Adrian",RB,,MIN,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
4.06,577,9054,62,1,"Charles, Jamaal",RB,,KCC,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
6.12,548,3291,118,1,"Manning, Peyton",QB,,DEN,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
7.21,582,9122,87,1,"Forte, Matt",RB,,CHI,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
7.25,583,8657,48,1,"Johnson, Calvin",WR,,DET,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
8.73,577,11201,83,1,"Lacy, Eddie",RB,,GBP,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
10.15,552,7836,40,1,"Rodgers, Aaron",QB,,GBP,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
10.70,550,4925,52,1,"Brees, Drew",QB,,NOS,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
10.93,579,9884,53,2,"Thomas, Demaryius",WR,,DEN,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
11.45,579,8670,81,1,"Lynch, Marshawn",RB,,SEA,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
11.82,580,9925,89,1,"Graham, Jimmy",TE,,NOS,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
14.71,579,9823,53,1,"Bryant, Dez",WR,,DAL,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
15.17,584,10261,105,1,"Green, A.J.",WR,,CIN,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
16.78,586,11174,90,1,"Ball, Montee",RB,,DEN,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
18.20,586,10271,77,1,"Jones, Julio",WR,,ATL,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
18.57,587,10302,92,3,"Murray, DeMarco",RB,,DAL,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
18.76,585,8360,78,1,"Marshall, Brandon",WR,,CHI,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
23.17,589,9118,152,2,"Nelson, Jordy",WR,,GBP,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
23.19,586,11193,156,5,"Bernard, Giovani",RB,,CIN,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
24.71,585,10709,94,2,"Martin, Doug",RB,,TBB,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
24.72,591,9690,114,1,"Foster, Arian",RB,,HOU,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
26.98,588,9988,160,2,"Brown, Antonio",WR,,PIT,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
27.79,581,10722,165,4,"Jeffery, Alshon",WR,,CHI,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
28.92,588,10372,159,1,"Thomas, Julius",TE,,DEN,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
29.45,583,11192,157,1,"Bell, Le'Veon",RB,,PIT,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
29.69,555,10695,93,1,"Luck, Andrew",QB,,IND,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
30.01,585,10870,107,5,"Morris, Alfred",RB,,WAS,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
30.31,558,9431,83,2,"Stafford, Matthew",QB,,DET,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
30.64,589,10308,116,3,"Cobb, Randall",WR,,GBP,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
32.30,585,9902,130,9,"Gronkowski, Rob",TE,,NEP,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
33.51,587,11189,166,6,"Stacy, Zac",RB,,STL,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
35.55,588,11175,151,3,"Ellington, Andre",RB,,ARI,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
37.41,589,11222,117,10,"Allen, Keenan",WR,,SDC,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
38.87,588,8243,122,6,"Bush, Reggie",RB,,DET,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
42.26,588,7873,108,9,"Jackson, Vincent",WR,,TBB,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
43.27,591,7393,154,4,"Fitzgerald, Larry",WR,,ARI,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
45.57,589,10080,142,4,"Cruz, Victor",WR,,NYG,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
45.62,561,5848,142,2,"Brady, Tom",QB,,NEP,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
45.88,586,6931,170,9,"Johnson, Andre",WR,,HOU,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
46.11,587,9822,153,12,"Spiller, C.J.",RB,,BUF,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
46.53,586,9250,155,19,"Garcon, Pierre",WR,,WAS,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
47.77,559,10699,171,2,"Foles, Nick",QB,,PHI,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
48.97,587,11225,152,5,"Patterson, Cordarrelle",WR,,MIN,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
49.81,588,7839,180,18,"White, Roddy",WR,,ATL,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
50.73,585,9851,120,5,"Mathews, Ryan",RB,,SDC,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
53.48,591,7877,135,11,"Gore, Frank",RB,,SFO,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
53.50,585,9441,158,5,"Harvin, Percy",WR,,NYJ,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
53.78,590,8247,164,2,"Davis, Vernon",TE,,SFO,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
53.88,590,9427,150,16,"Crabtree, Michael",WR,,SFO,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
55.43,587,9075,158,11,"Jackson, DeSean",WR,,WAS,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
55.70,593,9880,140,3,"Gerhart, Toby",RB,,JAC,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
57.46,588,10303,183,7,"Vereen, Shane",RB,,NEP,10,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
