plyrId,avgPick,draftCnt,totDrafts,pprFlg,year,firstNm,lastNm,pos,tm,adpRank,adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
9988,1.6,3381,3373,1,2016,Antonio,Brown,WR,PIT,1.0,9988,0,0,0,0,0,9,0,12,1284,0,106,0,0,0,0,307.3,14.0
11679,3.07,3382,3373,1,2016,Odell,Beckham,WR,NYG,2.0,11679,0,0,0,0,0,9,0,10,1367,0,101,0,0,0,1,296.6,21.0
10271,4.0,3379,3373,1,2016,Julio,Jones,WR,ATL,3.0,10271,0,0,0,0,0,0,0,6,1409,0,83,0,0,0,0,259.9,35.0
12150,5.93,3324,3373,1,2016,Todd,Gurley,RB,RAM,4.0,12150,0,0,0,0,6,885,0,0,327,0,43,0,0,0,1,198.2,73.0
11232,7.72,3380,3373,1,2016,DeAndre,Hopkins,WR,HOU,5.0,11232,0,0,0,0,0,0,0,4,954,0,78,0,0,0,0,197.4,75.0
12171,8.48,3325,3373,1,2016,David,Johnson,RB,ARI,6.0,12171,0,0,0,0,16,1239,0,4,879,1,80,0,0,0,3,407.8,1.0
12625,9.25,3383,3373,1,2016,Ezekiel,Elliott,RB,DAL,7.0,12625,0,0,0,0,15,1631,0,1,363,0,32,0,0,0,1,325.4,9.0
10261,9.28,3333,3373,1,2016,A.J.,Green,WR,CIN,8.0,10261,0,0,0,0,0,0,0,4,964,0,66,0,0,0,0,186.4,90.0
11192,12.26,3386,3373,1,2016,Le'Veon,Bell,RB,PIT,9.0,11192,0,0,0,0,7,1268,0,2,616,1,75,0,0,0,1,317.4,11.0
11678,12.47,3320,3373,1,2016,Allen,Robinson,WR,JAC,10.0,11678,0,0,0,0,0,0,0,6,883,1,73,0,0,0,0,199.3,72.0
9902,12.53,3333,3373,1,2016,Rob,Gronkowski,TE,NEP,11.0,9902,0,0,0,0,0,0,0,3,540,0,25,0,0,0,0,97.0,171.0
9823,14.48,3386,3373,1,2016,Dez,Bryant,WR,DAL,12.0,9823,1,10,0,0,0,0,0,8,796,0,50,0,0,0,1,180.0,97.0
8658,14.69,3331,3373,1,2016,Adrian,Peterson,RB,MIN,13.0,8658,0,0,0,0,0,72,0,0,8,0,3,0,0,0,1,9.0,265.0
10708,15.23,3383,3373,1,2016,Lamar,Miller,RB,HOU,14.0,10708,0,0,0,0,5,1073,0,1,188,0,31,0,0,0,1,191.1,85.0
11222,19.11,3325,3373,1,2016,Keenan,Allen,WR,SDC,15.0,11222,0,0,0,0,0,0,0,0,63,0,6,0,0,0,0,12.3,261.0
11671,19.28,3330,3373,1,2016,Mike,Evans,WR,TBB,16.0,11671,0,0,0,0,0,0,0,12,1321,2,96,0,0,0,0,304.1,17.0
11660,19.3,3384,3373,1,2016,Devonta,Freeman,RB,ATL,17.0,11660,0,0,0,0,11,1079,0,2,462,0,54,0,0,0,1,284.1,30.0
12175,21.15,3381,3373,1,2016,Amari,Cooper,WR,OAK,18.0,12175,0,0,0,0,0,0,0,5,1149,2,82,0,0,0,0,230.9,51.0
9118,22.34,3380,3373,1,2016,Jordy,Nelson,WR,GBP,19.0,9118,0,0,0,0,0,0,0,14,1257,0,97,0,0,0,1,304.7,16.0
10273,23.07,3292,3373,1,2016,Cam,Newton,QB,CAR,20.0,10273,19,3509,14,1,5,359,1,0,0,0,0,0,0,0,2,306.26,15.0
8360,23.92,3334,3373,1,2016,Brandon,Marshall,WR,NYJ,21.0,8360,0,0,0,0,0,0,0,3,787,0,60,0,0,0,0,156.7,114.0
10722,24.29,3334,3373,1,2016,Alshon,Jeffery,WR,CHI,22.0,10722,0,0,0,0,0,0,0,2,821,0,52,0,0,0,0,146.1,125.0
