averagePick,draftsSelectedIn,id,maxPick,minPick,name,position,status,team,TEAM_COUNT,PPR_FLG
84.57,115,8687,186,16,"Olsen, Greg",TE,,CAR,8,1
84.88,130,11670,210,1,"Watkins, Sammy",WR,R,BUF,8,1
85.09,23,10775,176,46,"Wagner, Bobby",LB,,SEA,8,1
85.89,133,7260,236,8,"Romo, Tony",QB,,DAL,8,1
86.88,24,11706,202,11,"Clowney, Jadeveon",LB,R,HOU,8,1
88.80,141,8493,230,34,"Colston, Marques",WR,,NOS,8,1
89.22,134,9881,212,16,"Decker, Eric",WR,,NYJ,8,1
89.75,122,7394,238,14,"Rivers, Philip",QB,,SDC,8,1
90.78,115,9933,266,11,"Pitta, Dennis",TE,,BAL,8,1
91.16,136,9525,201,18,"Wallace, Mike",WR,,MIA,8,1
92.02,130,11674,222,1,"Cooks, Brandin",WR,R,NOS,8,1
92.70,132,8359,200,27,"Gostkowski, Stephen",PK,,NEP,8,1
93.44,9,11308,188,42,"Alonso, Kiko",LB,,BUF,8,1
93.68,22,7827,186,37,"Johnson, Derrick",LB,,KCC,8,1
94.45,20,9829,131,62,"Thomas, Earl",S,,SEA,8,1
95.02,118,0511,187,30,"Broncos, Denver",Def,,DEN,8,1
95.77,103,10313,220,8,"Dalton, Andy",QB,,CIN,8,1
95.82,22,11293,192,33,"Ogletree, Alec",LB,,STL,8,1
96.37,124,10720,211,54,"Wright, Kendall",WR,,TEN,8,1
96.85,117,0528,183,10,"Rams, St. Louis",Def,,STL,8,1
97.26,128,4923,283,15,"Wayne, Reggie",WR,,IND,8,1
99.18,22,9847,174,41,"Hardy, Greg",DE,,CAR,8,1
99.29,24,7423,160,31,"Dansby, Karlos",LB,,CLE,8,1
99.50,18,9840,207,26,"Bowman, Navorro",LB,,SFO,8,1
99.54,24,9439,216,51,"Laurinaitis, James",LB,,STL,8,1
100.67,125,8931,304,18,"Thomas, Pierre",RB,,NOS,8,1
101.28,121,9831,223,46,"Tate, Golden",WR,,DET,8,1
101.32,122,9437,254,21,"Moreno, Knowshon",RB,,MIA,8,1
101.47,112,0512,186,36,"Chiefs, Kansas City",Def,,KCC,8,1
101.71,110,11247,218,10,"Ertz, Zach",TE,,PHI,8,1
101.86,21,10783,185,58,"Smith, Harrison",S,,MIN,8,1
102.42,128,8301,233,11,"Jones-Drew, Maurice",RB,,OAK,8,1
102.43,111,0506,180,43,"Bengals, Cincinnati",Def,,CIN,8,1
102.68,101,11671,228,3,"Evans, Mike",WR,R,TBB,8,1
103.80,20,10074,202,55,"Church, Barry",S,,DAL,8,1
104.76,21,9816,150,57,"Berry, Eric",S,,KCC,8,1
107.02,109,11211,225,28,"Williams, Terrance",WR,,DAL,8,1
107.14,21,10267,262,42,"Miller, Von",LB,,DEN,8,1
107.23,107,11673,220,4,"Benjamin, Kelvin",WR,R,CAR,8,1
107.36,22,9833,180,51,"Pierre-Paul, Jason",DE,,NYG,8,1
107.90,20,10314,160,61,"Wilkerson, Muhammad",DE,,NYJ,8,1
108.81,95,11657,243,6,"Hyde, Carlos",RB,R,SFO,8,1
109.95,21,9877,161,60,"Ward, T.J.",S,,DEN,8,1
110.21,86,7401,259,36,"Roethlisberger, Ben",QB,,PIT,8,1
110.37,98,0504,180,26,"Patriots, New England",Def,,NEP,8,1
111.03,116,7942,259,17,"Sproles, Darren",RB,,PHI,8,1
111.77,115,8930,208,38,"Prater, Matt",PK,,DET,8,1
111.95,130,10976,213,36,"Tucker, Justin",PK,,BAL,8,1
113.83,95,10334,251,1,"Ridley, Stevan",RB,,NEP,8,1
114.64,130,9319,242,53,"Hauschka, Steven",PK,,SEA,8,1
114.67,21,10260,217,67,"Peterson, Patrick",CB,,ARI,8,1
114.86,98,9044,294,40,"Bennett, Martellus",TE,,CHI,8,1
114.90,20,10393,293,43,"Sherman, Richard",CB,,SEA,8,1
115.29,104,7414,248,37,"Jackson, Steven",RB,,ATL,8,1
115.75,97,0519,180,64,"Cardinals, Arizona",Def,,ARI,8,1
116.51,99,10708,234,34,"Miller, Lamar",RB,,MIA,8,1
116.59,94,8934,261,70,"Jackson, Fred",RB,,BUF,8,1
116.68,85,9693,244,34,"Woodhead, Danny",RB,,SDC,8,1
116.78,23,10807,239,42,"Kendricks, Mychal",LB,,PHI,8,1
117.45,67,7813,299,6,"Smith, Alex",QB,,KCC,8,1
118.71,42,10960,274,30,"Gordon, Josh",WR,,CLE,8,1
119.29,21,8713,219,60,"Weddle, Eric",S,,SDC,8,1
120.28,79,10744,229,14,"Green, Ladarius",TE,,SDC,8,1
121.00,86,11232,242,55,"Hopkins, DeAndre",WR,,HOU,8,1
121.60,75,0532,232,44,"Texans, Houston",Def,,HOU,8,1
121.68,87,6982,288,52,"Boldin, Anquan",WR,,SFO,8,1
121.98,89,8667,258,26,"Bowe, Dwayne",WR,,KCC,8,1
122.13,75,10409,268,29,"Clay, Charles",TE,,MIA,8,1
122.36,22,9086,199,77,"Mayo, Jerod",LB,,NEP,8,1
122.41,17,11728,178,30,"Mosley, C.J.",LB,R,BAL,8,1
123.14,22,7823,274,49,"Ware, Demarcus",DE,,DEN,8,1
124.21,73,7236,294,41,"Gates, Antonio",TE,,SDC,8,1
124.40,85,9964,299,32,"Cooper, Riley",WR,,PHI,8,1
124.88,76,11695,264,5,"Ebron, Eric",TE,R,DET,8,1
125.30,53,7391,300,2,"Manning, Eli",QB,,NYG,8,1
125.52,21,10292,170,52,"Jordan, Cameron",DE,,NOS,8,1
125.53,15,10277,224,59,"Houston, Justin",LB,,KCC,8,1
126.28,60,11641,265,4,"Manziel, Johnny",QB,R,CLE,8,1
126.68,19,11347,201,74,"Cyprien, Johnathan",S,,JAC,8,1
126.87,68,0521,224,69,"Bears, Chicago",Def,,CHI,8,1
127.05,119,8742,266,57,"Crosby, Mason",PK,,GBP,8,1
127.69,64,11212,286,9,"Hunter, Justin",WR,,TEN,8,1
127.90,20,9446,215,56,"Cushing, Brian",LB,,HOU,8,1
128.70,67,10276,274,6,"Ingram, Mark",RB,,NOS,8,1
130.10,20,11722,194,28,"Shazier, Ryan",LB,R,PIT,8,1
130.23,61,11654,272,12,"Hill, Jeremy",RB,R,CIN,8,1
130.65,17,11457,222,78,"Worrilow, Paul",LB,,ATL,8,1
