averagePick,draftsSelectedIn,id,maxPick,minPick,name,position,status,team,TEAM_COUNT,PPR_FLG,YEAR,SRC_ADP,SRC_PLYR
2.83,821,9448,111,1,"McCoy, LeSean",RB,,PHI,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
3.76,822,9054,109,1,"Charles, Jamaal",RB,,KCC,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
4.11,819,8658,112,1,"Peterson, Adrian",RB,,MIN,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
7.13,825,9122,120,1,"Forte, Matt",RB,,CHI,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
7.17,806,3291,110,1,"Manning, Peyton",QB,,DEN,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
7.46,825,8657,161,1,"Johnson, Calvin",WR,,DET,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
8.12,816,11201,115,1,"Lacy, Eddie",RB,,GBP,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
10.59,819,9884,117,1,"Thomas, Demaryius",WR,,DEN,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
11.52,800,7836,173,1,"Rodgers, Aaron",QB,,GBP,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
11.87,823,9925,150,1,"Graham, Jimmy",TE,,NOS,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
11.91,824,8670,125,1,"Lynch, Marshawn",RB,,SEA,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
12.37,805,4925,124,1,"Brees, Drew",QB,,NOS,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
15.11,824,9823,173,2,"Bryant, Dez",WR,,DAL,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
15.16,823,10261,118,1,"Green, A.J.",WR,,CIN,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
16.73,823,11174,137,1,"Ball, Montee",RB,,DEN,12,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
