averagePick,draftsSelectedIn,id,maxPick,minPick,name,position,status,team,TEAM_COUNT,PPR_FLG,YEAR,SRC_ADP,SRC_PLYR
31.69,185,9918,87,11,"Sanders, Emmanuel",WR,,DEN,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
32.05,19,10272,169,3,"Watt, J.J.",DE,,HOU,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
33.64,181,9925,77,9,"Graham, Jimmy",TE,,SEA,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
34.94,186,11671,83,8,"Evans, Mike",WR,,TBB,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
35.59,167,3291,120,1,"Manning, Peyton",QB,,DEN,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
36.66,182,11674,86,14,"Cooks, Brandin",WR,,NOS,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
37.00,28,9118,160,6,"Nelson, Jordy",WR,,GBP,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
37.31,183,10276,86,8,"Ingram, Mark",RB,,NOS,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
39.42,181,10708,104,10,"Miller, Lamar",RB,,MIA,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
39.68,185,9662,138,3,"Edelman, Julian",WR,,NEP,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
39.70,174,10703,120,3,"Wilson, Russell",QB,,SEA,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
41.12,186,11676,101,15,"Matthews, Jordan",WR,,PHI,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
42.89,183,7877,112,13,"Gore, Frank",RB,,IND,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
43.35,184,12175,109,17,"Cooper, Amari",WR,R,OAK,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
43.50,179,5848,123,1,"Brady, Tom",QB,,NEP,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
44.37,46,10389,152,16,"Lewis, Dion",RB,,NEP,8,1,2015,https://www70.myfantasyleague.com/2015/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=1,https://www70.myfantasyleague.com/2015/export?TYPE=players&JSON=1
