averagePick,draftsSelectedIn,id,maxPick,minPick,name,position,status,team,TEAM_COUNT,PPR_FLG,YEAR,SRC_ADP,SRC_PLYR
4.21,155,9448,163,1,"McCoy, LeSean",RB,,PHI,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
4.78,9,0661,18,1,"Broncos, Denver",TMQB,,DEN,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
5.48,155,9054,161,1,"Charles, Jamaal",RB,,KCC,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
5.58,157,8658,162,1,"Peterson, Adrian",RB,,MIN,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
5.81,147,3291,164,1,"Manning, Peyton",QB,,DEN,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
7.00,9,0679,16,1,"Saints, New Orleans",TMQB,,NOS,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
7.11,9,0673,16,3,"Packers, Green Bay",TMQB,,GBP,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
8.43,155,8657,166,1,"Johnson, Calvin",WR,,DET,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
9.35,147,7836,170,1,"Rodgers, Aaron",QB,,GBP,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
9.51,158,9122,173,1,"Forte, Matt",RB,,CHI,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
9.75,149,4925,167,1,"Brees, Drew",QB,,NOS,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
10.64,157,11201,174,1,"Lacy, Eddie",RB,,GBP,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
12.08,156,9884,168,2,"Thomas, Demaryius",WR,,DEN,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
13.00,158,9925,165,1,"Graham, Jimmy",TE,,NOS,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
13.07,158,8670,171,1,"Lynch, Marshawn",RB,,SEA,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
16.24,157,9823,169,4,"Bryant, Dez",WR,,DAL,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
16.27,157,10261,177,3,"Green, A.J.",WR,,CIN,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
19.78,158,8360,182,1,"Marshall, Brandon",WR,,CHI,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
19.91,159,10271,178,2,"Jones, Julio",WR,,ATL,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
20.00,10,0672,39,3,"Lions, Detroit",TMQB,,DET,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
20.13,158,11174,172,6,"Ball, Montee",RB,,DEN,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
21.21,158,10302,183,2,"Murray, DeMarco",RB,,DAL,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
23.60,10,0652,39,2,"Colts, Indianapolis",TMQB,,IND,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
24.86,159,9118,184,10,"Nelson, Jordy",WR,,GBP,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
25.76,158,11193,187,1,"Bernard, Giovani",RB,,CIN,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
26.95,151,10695,175,2,"Luck, Andrew",QB,,IND,8,0,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
