plyrId,avgPick,draftCnt,totDrafts,pprFlg,year,firstNm,lastNm,pos,tm,adpRank
12186,192.74,416,3163,1,2015,Stefon,Diggs,WR,MIN,203.0
8667,192.75,1281,3163,1,2015,Dwayne,Bowe,WR,CLE,204.0
12178,193.59,586,3163,1,2015,Sammie,Coates,WR,PIT,205.0
9467,194.19,1252,3163,1,2015,Kenny,Britt,WR,STL,206.0
11672,194.25,666,3163,1,2015,Marqise,Lee,WR,JAC,207.0
12182,195.56,517,3163,1,2015,Devin,Smith,WR,NYJ,208.0
11213,197.5,813,3163,1,2015,Tavon,Austin,WR,STL,209.0
11466,197.85,1092,3163,1,2015,Khiry,Robinson,RB,NOS,210.0
12185,198.7,602,3163,1,2015,Justin,Hardy,WR,ATL,211.0
9078,199.29,901,3163,1,2015,Chris,Johnson,RB,ARI,212.0
11696,200.26,564,3163,1,2015,Jace,Amaro,TE,NYJ,213.0
11747,200.96,932,3163,1,2015,James,White,RB,NEP,214.0
12160,201.54,657,3163,1,2015,Karlos,Williams,RB,BUF,215.0
10973,202.89,975,3163,1,2015,Cole,Beasley,WR,DAL,216.0
12164,204.25,500,3163,1,2015,Mike,Davis,RB,SFO,217.0
10362,205.13,1022,3163,1,2015,Cecil,Shorts,WR,HOU,218.0
10700,205.39,427,3163,1,2015,Kirk,Cousins,QB,WAS,219.0
12210,205.41,544,3163,1,2015,Clive,Walford,TE,OAK,220.0
11188,205.55,715,3163,1,2015,Theo,Riddick,RB,DET,221.0
1600,205.56,877,3163,1,2015,Malcom,Floyd,WR,SDC,222.0
10723,206.08,842,3163,1,2015,Mohamed,Sanu,WR,CIN,223.0
9308,206.23,920,3163,1,2015,Danny,Amendola,WR,NEP,224.0
7422,208.84,428,3163,1,2015,Ben,Watson,TE,NOS,225.0
12169,209.27,346,3163,1,2015,Thomas,Rawls,RB,SEA,226.0
12204,210.59,369,3163,1,2015,DeAndre,Smelter,WR,SFO,227.0
10307,212.18,622,3163,1,2015,Leonard,Hankerson,WR,BUF,228.0
11941,214.5,767,3163,1,2015,Branden,Oliver,RB,SDC,229.0
11684,214.79,597,3163,1,2015,Josh,Huff,WR,PHI,230.0
11212,215.67,448,3163,1,2015,Justin,Hunter,WR,TEN,231.0
8062,215.71,386,3163,1,2015,Ryan,Fitzpatrick,QB,NYJ,232.0
11809,217.14,740,3163,1,2015,Lorenzo,Taliaferro,RB,BAL,233.0
12195,217.72,387,3163,1,2015,Kenny,Bell,WR,TBB,234.0
10334,217.89,588,3163,1,2015,Stevan,Ridley,RB,NYJ,235.0
9474,218.13,644,3163,1,2015,Jared,Cook,TE,STL,236.0
12264,218.67,503,3163,1,2015,Zach,Zenner,RB,DET,237.0
10961,221.24,698,3163,1,2015,Lance,Dunbar,RB,DAL,238.0
10651,221.51,427,3163,1,2015,Kamar,Aiken,WR,BAL,239.0
10710,222.95,558,3163,1,2015,Chris,Polk,RB,HOU,240.0
11886,224.13,438,3163,1,2015,Damien,Williams,RB,MIA,241.0
9094,224.9,548,3163,1,2015,Ray,Rice,RB,FA*,242.0
10432,225.68,593,3163,1,2015,Virgil,Green,TE,DEN,243.0
12260,228.51,291,3163,1,2015,Tre,McBride,WR,TEN,244.0
9714,230.51,308,3163,1,2015,Brian,Hoyer,QB,HOU,245.0
10731,230.82,407,3163,1,2015,Nick,Toon,WR,STL,246.0
11231,230.99,459,3163,1,2015,Marquess,Wilson,WR,CHI,247.0
11223,231.42,443,3163,1,2015,Stedman,Bailey,WR,STL,248.0
10702,231.44,365,3163,1,2015,Brock,Osweiler,QB,DEN,249.0
10714,231.75,489,3163,1,2015,Robert,Turbin,RB,DAL,250.0
11760,232.01,458,3163,1,2015,Jimmy,Garoppolo,QB,NEP,251.0
11228,232.45,475,3163,1,2015,Robert,Woods,WR,BUF,252.0
10706,232.46,349,3163,1,2015,Trent,Richardson,RB,FA*,253.0
11150,232.88,298,3163,1,2015,Geno,Smith,QB,NYJ,254.0
9429,234.92,387,3163,1,2015,Mark,Sanchez,QB,PHI,255.0
12184,236.06,225,3163,1,2015,Jamison,Crowder,WR,WAS,256.0
8735,236.54,344,3163,1,2015,Scott,Chandler,TE,NEP,257.0
11972,237.32,284,3163,1,2015,Corey,Brown,WR,CAR,258.0
11641,237.42,453,3163,1,2015,Johnny,Manziel,QB,CLE,259.0
10719,237.81,293,3163,1,2015,Justin,Blackmon,WR,JAC,260.0
8293,239.84,417,3163,1,2015,Greg,Jennings,WR,MIA,261.0
6589,240.23,186,3163,1,2015,Josh,McCown,QB,CLE,262.0
12183,240.26,316,3163,1,2015,Rashad,Greene,WR,JAC,263.0
12256,241.95,171,3163,1,2015,Jarryd,Hayne,RB,SFO,264.0
10998,242.01,314,3163,1,2015,Matt,Asiata,RB,MIN,265.0
11258,243.47,404,3163,1,2015,Mychal,Rivera,TE,OAK,266.0
10932,243.81,161,3163,1,2015,Brandon,Bolden,RB,NEP,267.0
12211,244.02,244,3163,1,2015,Jesse,James,TE,PIT,268.0
12263,244.09,255,3163,1,2015,Darren,Waller,WR,BAL,269.0
11652,244.17,297,3163,1,2015,Ka'Deem,Carey,RB,CHI,270.0
9545,246.76,337,3163,1,2015,Brian,Hartline,WR,CLE,271.0
12102,246.84,280,3163,1,2015,Duron,Carter,WR,FA,272.0
11214,249.29,320,3163,1,2015,Aaron,Dobson,WR,NEP,273.0
11432,249.69,177,3163,1,2015,Benny,Cunningham,RB,STL,274.0
10500,250.17,210,3163,1,2015,Terrelle,Pryor,WR,CLE,275.0
11786,250.44,224,3163,1,2015,Crockett,Gillmore,TE,BAL,276.0
11076,250.65,240,3163,1,2015,Jermaine,Kearse,WR,SEA,277.0
11189,253.66,298,3163,1,2015,Zac,Stacy,RB,NYJ,278.0
11752,254.13,293,3163,1,2015,Chris,Matthews,WR,BAL,279.0
10394,255.63,225,3163,1,2015,Niles,Paul,TE,WAS,280.0
10369,256.03,179,3163,1,2015,Bilal,Powell,RB,NYJ,281.0
11890,256.44,294,3163,1,2015,Albert,Wilson,WR,KCC,282.0
9176,256.98,288,3163,1,2015,Jacob,Tamme,TE,ATL,283.0
9144,258.21,221,3163,1,2015,Harry,Douglas,WR,TEN,284.0
10601,258.65,310,3163,1,2015,Andrew,Hawkins,WR,CLE,285.0
11251,258.93,245,3163,1,2015,Gavin,Escobar,TE,DAL,286.0
10333,259.78,199,3163,1,2015,Robert,Housler,TE,CHI,287.0
11681,261.75,190,3163,1,2015,Paul,Richardson,WR,SEA,288.0
11481,263.02,216,3163,1,2015,Marlon,Brown,WR,BAL,289.0
11661,263.99,171,3163,1,2015,Tyler,Gaffney,RB,NEP,290.0
10978,264.33,236,3163,1,2015,Travaris,Cadet,RB,NOS,291.0
10268,265.28,186,3163,1,2015,Ryan,Mallett,QB,BAL,292.0
12309,270.81,198,3163,1,2015,MyCole,Pruitt,TE,MIN,293.0
12144,272.76,190,3163,1,2015,Bryce,Petty,QB,NYJ,294.0
12146,275.04,189,3163,1,2015,Garrett,Grayson,QB,NOS,295.0
