plyrId,firstNm,lastNm,pos,tm
4397,Roosevelt,Nix,RB,PIT
4925,Drew,Brees,QB,NOS
4974,Steve,Smith,WR,FA
5646,Bill,Belichick,Coach,NEP
5666,Sebastian,Janikowski,PK,OAK
5791,Shane,Lechler,PN,HOU
5848,Tom,Brady,QB,NEP
6510,Julius,Peppers,DE,CAR
6519,Dwight,Freeney,DE,FA
6589,Josh,McCown,QB,NYJ
6770,John,Fox,Coach,CHI
6789,Matt,Bryant,PK,ATL
6928,Marvin,Lewis,Coach,CIN
6929,Carson,Palmer,QB,ARI
6931,Andre,Johnson,WR,FA
6933,Terence,Newman,CB,MIN
6938,Terrell,Suggs,LB,BAL
6982,Anquan,Boldin,WR,FA
6997,Jason,Witten,TE,DAL
7066,Robert,Mathis,LB,FA
7150,Josh,Brown,PK,FA
7194,Shaun,Hill,QB,FA
7231,James,Harrison,LB,PIT
7236,Antonio,Gates,TE,LAC
7260,Tony,Romo,QB,FA
7388,Lovie,Smith,Coach,FA
7391,Eli,Manning,QB,NYG
7393,Larry,Fitzgerald,WR,ARI
7394,Philip,Rivers,QB,LAC
7398,Deangelo,Hall,S,WAS
7401,Ben,Roethlisberger,QB,PIT
7411,Vince,Wilfork,DT,FA
7422,Ben,Watson,TE,BAL
7423,Karlos,Dansby,LB,ARI
7429,Daryl,Smith,LB,FA
7480,Matt,Schaub,QB,ATL
7496,Luke,McCown,QB,FA
7525,Antonio,Smith,DE,FA
7578,Andy,Lee,PN,ARI
7614,Donnie,Jones,PN,PHI
7653,Wes,Welker,WR,FA
7665,Cullen,Jenkins,DE,FA
7757,Mike,Adams,S,CAR
7813,Alex,Smith,QB,KCC
7818,Adam,Jones,CB,CIN
7823,Demarcus,Ware,LB,FA
7826,Thomas,Davis,LB,CAR
7827,Derrick,Johnson,LB,KCC
7836,Aaron,Rodgers,QB,GBP
7839,Roddy,White,WR,FA
7859,Mike,Nugent,PK,FA*
7871,Jonathan,Babineaux,DT,FA
7873,Vincent,Jackson,WR,FA
7877,Frank,Gore,RB,IND
7911,Dustin,Colquitt,PN,KCC
7942,Darren,Sproles,RB,PHI
7957,Dan,Orlovsky,QB,FA
7958,Trent,Cole,LB,FA
8025,Derek,Anderson,QB,CAR
8042,Matt,Cassel,QB,TEN
8062,Ryan,Fitzpatrick,QB,TBB
8117,Nate,Washington,WR,FA
8144,Nick,Novak,PK,LAC
8153,Robbie,Gould,PK,SFO
8235,Mike,McCarthy,Coach,GBP
8237,Sean,Payton,Coach,NOS
8242,Mario,Williams,DE,FA
8243,Reggie,Bush,RB,FA
8246,A.J.,Hawk,LB,FA
8247,Vernon,Davis,TE,WAS
8249,Donte,Whitner,S,FA
8252,Jay,Cutler,QB,MIA
8253,Haloti,Ngata,DT,DET
8258,Chad,Greenway,LB,FA
8260,Antonio,Cromartie,CB,FA
8261,Tamba,Hali,LB,KCC
8265,Johnathan,Joseph,CB,HOU
8268,DeAngelo,Williams,RB,FA
8269,Marcedes,Lewis,TE,JAC
8275,D'Qwell,Jackson,LB,FA
8284,Roman,Harper,S,FA
8290,Kellen,Clemens,QB,LAC
8294,Anthony,Fasano,TE,MIA
8298,Devin,Hester,WR,FA
8304,Darryl,Tapp,DE,FA
8322,Charlie,Whitehurst,QB,FA
8332,Frostee,Rucker,DE,ARI
8350,Jason,Avant,WR,FA
8356,Will,Blackmon,S,FA
8357,Stephen,Tulloch,LB,FA
8359,Stephen,Gostkowski,PK,NEP
8360,Brandon,Marshall,WR,NYG
8364,Domata,Peko,DT,DEN
8367,Elvis,Dumervil,DE,SFO
8375,Kyle,Williams,DT,BUF
8376,Rob,Ninkovich,DE,FA
8416,Delanie,Walker,TE,TEN
8437,Kedric,Golston,DT,FA
8444,Sam,Koch,PN,BAL
8448,Antoine,Bethea,S,ARI
8493,Marques,Colston,WR,FA
8497,Ahmad,Brooks,LB,GBP
8501,Jon,Ryan,PN,SEA
8548,Tony,McDaniel,DT,FA
8590,John,Kuhn,RB,FA
8653,Mike,Tomlin,Coach,PIT
8657,Calvin,Johnson,WR,FA*
8658,Adrian,Peterson,RB,NOS
8661,Alan,Branch,DT,NEP
8662,Darrelle,Revis,CB,FA
8668,Reggie,Nelson,S,OAK
8669,Paul,Posluszny,LB,JAC
8670,Marshawn,Lynch,RB,OAK
8673,Ted,Ginn Jr.,WR,NOS
8674,Leon,Hall,CB,FA
8677,Charles,Johnson,DE,CAR
8678,Brandon,Meriweather,S,FA
8684,Lawrence,Timmons,LB,MIA
8686,Michael,Griffin,S,FA
8687,Greg,Olsen,TE,CAR
8697,David,Harris,LB,NEP
8712,Drew,Stanton,QB,ARI
8713,Eric,Weddle,S,BAL
8721,Brandon,Mebane,DT,LAC
8735,Scott,Chandler,TE,FA
8742,Mason,Crosby,PK,GBP
8762,Justin,Durant,LB,DAL
8776,James,Jones,WR,FA
8787,Brian,Robison,DE,MIN
8791,Paul,Soliai,DT,FA
8807,Dashon,Goldson,S,FA
8838,Brent,Celek,TE,PHI
8843,Corey,Graham,S,PHI
8845,William,Gay,CB,PIT
8851,Nick,Folk,PK,TBB
8910,Clark,Harris,TE,CIN
8917,Ahmad,Bradshaw,RB,FA
8930,Matt,Prater,PK,DET
8931,Pierre,Thomas,RB,FA
8934,Fred,Jackson,RB,FA
8944,Matt,Moore,QB,MIA
8951,Lorenzo,Alexander,LB,BUF
8958,Tramon,Williams,CB,ARI
9028,Brent,Grimes,CB,TBB
9037,Tony,Sparano,Coach,FA
9038,Mike,Smith,Coach,FA
9041,Cliff,Avril,DE,SEA
9044,Martellus,Bennett,TE,GBP
9050,Andre,Caldwell,WR,FA
9051,Calais,Campbell,DE,JAC
9054,Jamaal,Charles,RB,DEN
9060,Glenn,Dorsey,DE,FA
9064,Joe,Flacco,QB,BAL
9072,Erin,Henderson,LB,FA
9073,Chad,Henne,QB,JAC
9075,DeSean,Jackson,WR,TBB
9078,Chris,Johnson,RB,ARI
9084,Chris,Long,DE,PHI
9087,Darren,McFadden,RB,DAL
9088,Leodis,McKelvin,CB,FA
9092,Tracy,Porter,CB,FA
9094,Ray,Rice,RB,FA
9097,Dominique,Rodgers-Cromartie,CB,NYG
9099,Matt,Ryan,QB,ATL
9101,Jonathan,Stewart,RB,CAR
9103,Aqib,Talib,CB,DEN
9104,Philip,Wheeler,LB,FA
9117,Brandon,Flowers,CB,FA
9118,Jordy,Nelson,WR,GBP
9120,Eddie,Royal,WR,FA
9122,Matt,Forte,RB,NYJ
9126,Jason,Jones,DT,FA
9134,Kendall,Langford,DE,FA
9139,Pat,Sims,DT,CIN
9144,Harry,Douglas,WR,TEN
9154,Tyvon,Branch,S,ARI
9156,William,Hayes,DE,MIA
9164,Dwight,Lowery,S,FA
9168,Quintin,Demps,S,CHI
9176,Jacob,Tamme,TE,FA
9188,Brandon,Carr,CB,BAL
9189,Gary,Barnidge,TE,FA*
9191,Orlando,Scandrick,CB,DAL
9193,Jerome,Felton,RB,FA
9196,Tim,Hightower,RB,FA
9199,Letroy,Guion,DT,FA
9200,Matt,Slater,WR,NEP
9205,Kellen,Davis,TE,FA
9207,Josh,Johnson,QB,FA
9214,Erik,Walden,LB,TEN
9236,Ahtyba,Rubin,DT,DEN
9240,Ryan,Mundy,S,FA
9250,Pierre,Garcon,WR,SFO
9269,Stevie,Johnson,WR,FA
9274,Cary,Williams,CB,FA
9278,Justin,Forsett,RB,FA
9298,John,Harbaugh,Coach,BAL
9299,Dan,Carpenter,PK,FA
9307,Connor,Barth,PK,CHI
9308,Danny,Amendola,WR,NEP
9310,Brett,Kern,PN,TEN
9315,Mike,Tolbert,RB,BUF
9319,Steven,Hauschka,PK,BUF
9330,Wesley,Woodyard,LB,TEN
9363,James,Ihedigbo,S,FA
9367,Wallace,Gilberry,DE,FA
9383,Eric,Weems,WR,TEN
9404,Leger,Douzable,DE,FA
9421,Jim,Caldwell,Coach,DET
9425,Cameron,Wake,DE,MIA
9426,Rex,Ryan,Coach,FA
9427,Michael,Crabtree,WR,OAK
9429,Mark,Sanchez,QB,CHI
9430,Malcolm,Jenkins,S,PHI
9431,Matthew,Stafford,QB,DET
9434,Rey,Maualuga,LB,MIA
9435,Brian,Orakpo,LB,TEN
9436,Jeremy,Maclin,WR,BAL
9438,Vontae,Davis,CB,IND
9439,James,Laurinaitis,LB,FA
9441,Percy,Harvin,WR,FA
9442,Michael,Johnson,DE,CIN
9444,Brandon,Pettigrew,TE,FA
9446,Brian,Cushing,LB,HOU
9448,LeSean,McCoy,RB,BUF
9451,Sean,Smith,CB,OAK
9452,Darrius,Heyward-Bey,WR,PIT
9453,Tyson,Jackson,DT,FA
9454,Chase,Coffman,TE,FA
9461,Darius,Butler,S,IND
9464,Clay,Matthews,LB,GBP
9465,Patrick,Chung,S,NEP
9466,Dannell,Ellerbe,LB,FA
9467,Kenny,Britt,WR,CLE
9474,Jared,Cook,TE,OAK
9475,Evander,Hood,DT,WAS
9478,Sen'Derrick,Marks,DT,FA
9485,Robert,Ayers,DE,TBB
9492,Jairus,Byrd,S,CAR
9494,Connor,Barwin,LB,LAR
9495,Michael,Mitchell,S,PIT
9502,Paul,Kruger,DE,FA
9517,DeAndre,Levy,LB,FA
9522,Roy,Miller,DT,KCC
9524,Brandon,Tate,WR,BUF
9525,Mike,Wallace,WR,BAL
9529,Lardarius,Webb,S,BAL
9532,Jerraud,Powers,CB,FA
9535,Rashad,Johnson,S,FA
9549,Glover,Quin,S,DET
9551,David,Bruton,S,FA
9560,Louis,Murphy,WR,FA
9567,Greg,Toler,CB,FA
9577,Kevin,Huber,PN,CIN
9596,Thomas,Morstead,PN,NOS
9608,Don,Carey,S,DET
9611,Zach,Miller,TE,CHI
9616,Cedric,Peerman,RB,CIN
9619,Brice,McCain,CB,TEN
9632,Brandon,Myers,TE,FA
9633,Jason,McCourty,CB,CLE
9638,John,Phillips,TE,NOS
9646,Captain,Munnerlyn,CB,CAR
9652,Pat,McAfee,PN,FA
9662,Julian,Edelman,WR,NEP
9671,David,Johnson,TE,FA
9674,Ricky,Jean-Francois,DE,GBP
9679,Clinton,McDonald,DT,TBB
9680,Rashad,Jennings,RB,FA
9686,Ryan,Succop,PK,TEN
9690,Arian,Foster,RB,FA
9693,Danny,Woodhead,RB,BAL
9694,Graham,Gano,PK,CAR
9706,Chase,Daniel,QB,NOS
9712,Britton,Colquitt,PN,CLE
9714,Brian,Hoyer,QB,SFO
9725,Desmond,Bryant,DT,FA
9729,Ramon,Humber,LB,BUF
9735,Chris,Baker,DT,TBB
9742,Jonathan,Casillas,LB,NYG
9749,Michael,Bennett,DE,SEA
9757,Dan,Skuta,LB,FA
9783,Jordan,Norwood,WR,FA
9802,Marcel,Reece,RB,FA
9815,Ndamukong,Suh,DT,MIA
9816,Eric,Berry,S,KCC
9817,Sam,Bradford,QB,MIN
9819,Gerald,McCoy,DT,TBB
9820,Joe,Haden,CB,PIT
9821,Rolando,McClain,LB,FA
9822,C.J.,Spiller,RB,FA
9823,Dez,Bryant,WR,DAL
9824,Derrick,Morgan,LB,TEN
9825,Carlos,Dunlap,DE,CIN
9826,Brandon,Graham,DE,PHI
9828,Everson,Griffen,DE,MIN
9829,Earl,Thomas,S,SEA
9831,Golden,Tate,WR,DET
9832,Dan,Williams,DT,FA
9833,Jason,Pierre-Paul,DE,NYG
9835,Sean,Weatherspoon,LB,FA
9838,Jermaine,Gresham,TE,ARI
9840,Navorro,Bowman,LB,SFO
9841,Patrick,Robinson,CB,PHI
9842,Jared,Odrick,DE,FA
9843,Brandon,LaFell,WR,CIN
9844,Brandon,Spikes,LB,FA
9846,Devin,McCourty,S,NEP
9850,Daryl,Washington,LB,FA
9851,Ryan,Mathews,RB,FA
9853,Jerry,Hughes,DE,BUF
9856,Dexter,McCluster,RB,FA
9857,Nate,Allen,S,MIA
9859,Arrelious,Benn,WR,JAC
9861,Kareem,Jackson,CB,HOU
9864,Morgan,Burnett,S,GBP
9866,Sean,Lee,LB,DAL
9868,Geno,Atkins,DT,CIN
9875,Tyson,Alualu,DE,PIT
9877,T.J.,Ward,S,TBB
9879,Koa,Misi,LB,MIA
9881,Eric,Decker,WR,TEN
9882,Willie,Young,LB,CHI
9884,Demaryius,Thomas,WR,DEN
9886,Darrell,Stuckey,S,FA
9893,Perrish,Cox,CB,FA
9898,LeGarrette,Blount,RB,PHI
9899,Colt,McCoy,QB,WAS
9902,Rob,Gronkowski,TE,NEP
9903,Lamarr,Houston,LB,FA
9904,Linval,Joseph,DT,MIN
9912,Ed,Dickson,TE,CAR
9915,Major,Wright,S,FA
9916,Donald,Butler,LB,FA
9917,Earl,Mitchell,DT,SFO
9918,Emmanuel,Sanders,WR,DEN
9919,Corey,Peters,DT,ARI
9921,Andre,Roberts,WR,ATL
9925,Jimmy,Graham,TE,SEA
9929,Perry,Riley,LB,FA
9930,Alterraun,Verner,CB,MIA
9933,Dennis,Pitta,TE,FA
9936,Garrett,Graham,TE,FA
9940,Al,Woods,DT,IND
9941,Clay,Harbor,TE,NOS
9944,O'Brien,Schofield,DE,FA
9946,Michael,Hoomanawanui,TE,NOS
9947,Kam,Chancellor,S,SEA
9948,Kendrick,Lewis,S,FA
9954,Nolan,Carroll,CB,DAL
9955,Cam,Thomas,DT,FA
9963,Art,Jones,DE,FA
9966,Reshad,Jones,S,MIA
9978,Arthur,Moats,LB,PIT
9984,Eugene,Sims,DE,FA
9987,James,Starks,RB,FA
9988,Antonio,Brown,WR,PIT
9992,Joe,Webb,QB,BUF
10005,Dekoda,Watson,LB,SFO
10009,Marc,Mariani,WR,FA
10013,C.J.,Wilson,DE,FA
10015,Jim,Dray,TE,FA
10020,Ricardo,Mathews,DE,FA
10026,Kurt,Coleman,S,CAR
10031,Robert,McClain,CB,TBB
10048,Joique,Bell,RB,FA
10063,Chris,Maragos,S,PHI
10067,Antone,Smith,RB,FA
10074,Barry,Church,S,JAC
10077,Chris,Ivory,RB,JAC
10080,Victor,Cruz,WR,FA
10084,Sam,Shields,CB,FA
10097,Thaddeus,Lewis,QB,FA
10099,Frank,Zombo,LB,KCC
10103,Sherrick,McManis,CB,CHI
10106,Junior,Galette,LB,WAS
10110,Darrel,Young,RB,FA
10111,Kyle,Love,DT,CAR
10122,Darian,Stewart,S,DEN
10123,Logan,Paulsen,TE,SFO
10139,Jeff,Cumberland,TE,FA
10143,Steve,Mclendon,DT,NYJ
10149,Tramaine,Brock,CB,MIN
10178,Sergio,Brown,S,FA
10186,Josh,Mauga,LB,FA
10198,Colt,Anderson,S,BUF
10220,Andrew,Sendejo,S,MIN
10224,Vincent,Rey,LB,CIN
10228,George,Johnson,DE,DET
10233,Teddy,Williams,CB,CAR
10241,Will,Tukuafu,RB,FA
10243,Jim,Tomsula,Coach,FA
10244,Rafael,Bush,S,NOS
10250,Marcus,Sherels,CB,MIN
10253,Ron,Rivera,Coach,CAR
10254,Pat,Shurmer,Coach,FA
10255,Hue,Jackson,Coach,CLE
10258,Nick,Fairley,DT,NOS
10260,Patrick,Peterson,CB,ARI
10261,A.J.,Green,WR,CIN
10262,Blaine,Gabbert,QB,ARI
10263,Adrian,Clayborn,DE,ATL
10264,Prince,Amukamara,CB,CHI
10265,Marcell,Dareus,DT,BUF
10266,Cameron,Heyward,DE,PIT
10267,Von,Miller,LB,DEN
10268,Ryan,Mallett,QB,BAL
10269,Robert,Quinn,LB,LAR
10270,Stephen,Paea,DT,DAL
10271,Julio,Jones,WR,ATL
10272,J.J.,Watt,DE,HOU
10273,Cam,Newton,QB,CAR
10274,Aldon,Smith,LB,OAK
10275,Allen,Bailey,DE,KCC
10276,Mark,Ingram,RB,NOS
10277,Justin,Houston,LB,KCC
10280,Ryan,Kerrigan,LB,WAS
10282,Akeem,Ayers,LB,FA
10284,Jared,Crick,DE,DEN
10285,Corey,Liuget,DT,LAC
10289,Torrey,Smith,WR,PHI
10292,Cameron,Jordan,DE,NOS
10294,Jimmy,Smith,CB,BAL
10295,Aaron,Williams,S,FA
10296,Christian,Ponder,QB,FA
10297,Colin,Kaepernick,QB,FA*
10300,Jacquizz,Rodgers,RB,TBB
10301,Jordan,Todman,RB,HOU
10302,DeMarco,Murray,RB,TEN
10303,Shane,Vereen,RB,NYG
10305,Kendall,Hunter,RB,FA
10307,Leonard,Hankerson,WR,FA
10308,Randall,Cobb,WR,GBP
10312,Kyle,Rudolph,TE,MIN
10313,Andy,Dalton,QB,CIN
10314,Muhammad,Wilkerson,DE,NYJ
10315,Brooks,Reed,DE,ATL
10318,Lance,Kendricks,TE,GBP
10319,Phil,Taylor,DT,WAS
10320,Jabaal,Sheard,LB,IND
10321,Bruce,Carter,LB,NYJ
10322,Jarvis,Jenkins,DE,KCC
10324,Marcus,Gilchrist,S,HOU
10329,Terrell,McClain,DT,WAS
10332,Kelvin,Sheppard,LB,FA
10333,Robert,Housler,TE,FA
10334,Stevan,Ridley,RB,MIN
10335,Jurrell,Casey,DE,TEN
10336,Chris,Culliver,CB,IND
10339,Mason,Foster,LB,WAS
10341,Shareece,Wright,CB,BUF
10343,Akeem,Dent,LB,FA
10344,Chris,Conte,S,TBB
10350,K.J.,Wright,LB,SEA
10351,Da'Norris,Searcy,S,TEN
10352,Jordan,Cameron,TE,FA
10353,Sam,Acho,LB,CHI
10354,Luke,Stocker,TE,TBB
10355,Roy,Helu,RB,FA
10360,Greg,Salas,WR,FA
10362,Cecil,Shorts,WR,FA
10366,Chris,Prosinski,S,CHI
10368,Taiwan,Jones,RB,BUF
10369,Bilal,Powell,RB,NYJ
10372,Julius,Thomas,TE,MIA
10374,Davon,House,CB,GBP
10378,Anthony,Sherman,RB,KCC
10379,Buster,Skrine,CB,NYJ
10383,Karl,Klug,DE,TEN
10385,Shiloh,Keo,S,FA
10389,Dion,Lewis,RB,NEP
10391,T.J.,Yates,QB,FA
10392,Jeremy,Kerley,WR,NYJ
10393,Richard,Sherman,CB,SEA
10394,Niles,Paul,TE,WAS
10398,Lee,Smith,TE,OAK
