byeWk,draftCnt,frmt,name,ovrlAdp,playerId,pos,rdAdp,rdCnt,team,tmCnt,year
9,9,ppr,Chris Boswell,135.1,2340,PK,14.05,15,PIT,10,2010
8,8,ppr,Sterling Shepard,136.6,2349,WR,14.07,15,NYG,10,2010
10,5,ppr,Philadelphia Defense,138.2,1323,DEF,14.08,15,PHI,10,2010
11,5,ppr,Jay Cutler,138.4,265,QB,14.08,15,MIA,10,2010
6,20,ppr,Dan Bailey,138.7,1891,PK,14.09,15,DAL,10,2010
11,10,ppr,Adam Vinatieri,138.8,1195,PK,14.09,15,IND,10,2010
5,8,ppr,Wil Lutz,139.0,2522,PK,14.09,15,NO,10,2010
9,19,ppr,Latavius Murray,139.3,2023,RB,14.09,15,MIN,10,2010
7,7,ppr,Matt Prater,140.9,1390,PK,15.01,15,DET,10,2010
10,20,ppr,Cairo Santos,142.2,2335,PK,15.02,15,KC,10,2010
5,7,ppr,Brandon McManus,142.4,2336,PK,15.02,15,DEN,10,2010
6,7,ppr,Blair Walsh,145.4,1957,PK,15.05,15,SEA,10,2010
