averagePick,draftsSelectedIn,id,maxPick,minPick,name,position,status,team,TEAM_COUNT,PPR_FLG,YEAR,SRC_ADP,SRC_PLYR
3.13,166,9988,21,1,"Brown, Antonio",WR,,PIT,8,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
4.31,143,12150,22,1,"Gurley, Todd",RB,,LAR,8,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
6.11,167,11679,21,1,"Beckham, Odell",WR,,NYG,8,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
6.70,10,0673,14,2,"Packers, Green Bay",TMQB,,GBP,8,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
6.71,143,12171,16,1,"Johnson, David",RB,,ARI,8,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
7.88,143,8658,127,1,"Peterson, Adrian",RB,,ARI,8,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
7.88,167,10271,25,1,"Jones, Julio",WR,,ATL,8,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
8.48,167,12625,19,1,"Elliott, Ezekiel",RB,,DAL,8,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
10.54,136,10273,121,1,"Newton, Cam",QB,,CAR,8,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
11.28,157,7836,122,1,"Rodgers, Aaron",QB,,GBP,8,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=8&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
