plyrId,avgPick,draftCnt,totDrafts,pprFlg,year,firstNm,lastNm,pos,tm,adpRank,adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
12157,78.63,688,718,0,2016,Duke,Johnson,RB,CLE,69.0,12157,0,0,0,0,1,366,0,0,514,0,53,0,0,0,1,145.0,120.0
8416,79.46,679,718,0,2016,Delanie,Walker,TE,TEN,70.0,8416,0,0,0,0,0,11,0,7,800,0,65,0,0,0,0,188.1,84.0
7391,81.01,685,718,0,2016,Eli,Manning,QB,NYG,71.0,7391,26,4027,16,0,0,-9,0,0,0,0,0,0,0,0,4,288.18,28.0
9918,81.26,693,718,0,2016,Emmanuel,Sanders,WR,DEN,73.0,9918,0,0,0,0,0,4,0,5,1032,0,79,0,0,0,0,212.6,60.0
11193,81.37,697,718,0,2016,Giovani,Bernard,RB,CIN,74.0,11193,0,0,0,0,2,337,0,1,336,0,39,0,0,0,1,122.3,137.0
7877,81.91,692,718,0,2016,Frank,Gore,RB,IND,75.0,7877,0,0,0,0,4,1026,0,4,277,0,38,0,0,0,1,214.3,58.0
12187,83.89,692,718,0,2016,Tyler,Lockett,WR,SEA,76.0,12187,0,0,0,0,1,114,0,1,597,0,41,0,0,0,0,124.1,136.0
10743,84.64,682,718,0,2016,Coby,Fleener,TE,NOS,77.0,10743,0,0,0,0,1,2,0,3,631,0,50,0,0,0,0,137.3,124.0
8268,84.96,710,718,0,2016,DeAngelo,Williams,RB,PIT,78.0,8268,0,0,0,0,3,115,0,3,249,0,23,0,0,0,1,93.4,160.0
12155,85.02,687,718,0,2016,Ameer,Abdullah,RB,DET,79.0,12155,0,0,0,0,0,101,0,1,57,0,5,0,0,0,0,26.8,214.0
9075,85.76,690,718,0,2016,DeSean,Jackson,WR,WAS,80.0,9075,0,0,0,0,0,0,0,4,1005,0,56,0,0,0,0,180.5,90.0
11783,86.13,690,718,0,2016,John,Brown,WR,ARI,81.0,11783,0,0,0,0,0,10,0,2,517,0,39,0,0,0,0,103.7,146.0
12626,88.92,694,718,0,2016,Derrick,Henry,RB,TEN,82.0,12626,0,0,0,0,5,490,0,0,137,0,13,0,0,0,0,105.7,144.0
10738,89.81,695,718,0,2016,Marvin,Jones,WR,DET,83.0,10738,0,0,0,0,0,3,0,4,930,0,55,0,0,0,0,172.3,95.0
9680,90.06,698,718,0,2016,Rashad,Jennings,RB,NYG,84.0,9680,0,0,0,0,0,456,0,0,162,0,15,0,0,0,0,76.8,175.0
7394,92.94,678,718,0,2016,Philip,Rivers,QB,SDC,85.0,7394,33,4390,21,0,0,35,0,0,0,0,0,0,0,0,5,343.1,7.0
9693,92.97,679,718,0,2016,Danny,Woodhead,RB,SDC,86.0,9693,0,0,0,0,0,116,0,1,35,0,6,0,0,0,0,27.1,212.0
11644,93.76,676,718,0,2016,Derek,Carr,QB,OAK,87.0,11644,28,3933,6,5,0,69,0,0,0,0,0,0,0,0,3,272.22,32.0
12153,94.85,678,718,0,2016,T.J.,Yeldon,RB,JAC,88.0,12153,0,0,0,0,1,465,0,1,312,0,50,0,0,0,1,137.7,123.0
