byeWk,draftCnt,frmt,name,ovrlAdp,playerId,pos,rdAdp,rdCnt,team,tmCnt,year
8,3,standard,David Johnson,1.0,2297,RB,1.01,15,ARI,14,2016
9,7,standard,LeVeon Bell,2.9,1983,RB,1.03,15,PIT,14,2016
11,7,standard,Mike Evans,8.9,2111,WR,1.09,15,TB,14,2016
8,13,standard,Jordy Nelson,10.2,1350,WR,1.10,15,GB,14,2016
11,3,standard,Jay Ajayi,10.7,2284,RB,1.11,15,MIA,14,2016
5,3,standard,Julio Jones,13.3,1796,WR,1.13,15,ATL,14,2016
5,3,standard,Michael Thomas,15.0,2357,WR,2.01,15,NO,14,2016
9,4,standard,Jordan Howard,15.3,2384,RB,2.01,15,CHI,14,2016
9,3,standard,Rob Gronkowski,17.7,1740,TE,2.04,15,NE,14,2016
8,8,standard,Aaron Rodgers,18.9,1004,QB,2.05,15,GB,14,2016
10,5,standard,Kareem Hunt,19.2,2450,RB,2.05,15,KC,14,2016
6,9,standard,Ezekiel Elliott,19.4,2343,RB,2.05,15,DAL,14,2016
10,3,standard,Amari Cooper,20.0,2277,WR,2.06,15,OAK,14,2016
8,7,standard,Todd Gurley,21.3,2280,RB,2.07,15,LAR,14,2016
11,4,standard,Christian McCaffrey,25.5,2434,RB,2.12,15,CAR,14,2016
10,4,standard,Marshawn Lynch,27.5,740,RB,2.14,15,OAK,14,2016
8,4,standard,DeMarco Murray,27.5,1819,RB,2.14,15,TEN,14,2016
9,5,standard,Keenan Allen,28.2,1992,WR,2.14,15,LAC,14,2016
6,4,standard,Dez Bryant,29.0,1727,WR,3.01,15,DAL,14,2016
11,4,standard,Carlos Hyde,33.8,2129,RB,3.06,15,SF,14,2016
6,8,standard,A.J. Green,36.9,1795,WR,3.09,15,CIN,14,2016
5,8,standard,Demaryius Thomas,37.1,1735,WR,3.09,15,DEN,14,2016
11,6,standard,Kelvin Benjamin,37.7,2116,WR,3.10,15,CAR,14,2016
5,4,standard,CJ Anderson,40.8,2071,RB,3.13,15,DEN,14,2016
5,4,standard,Drew Brees,42.3,127,QB,3.14,15,NO,14,2016
10,7,standard,Alshon Jeffery,43.9,1918,WR,4.02,15,PHI,14,2016
7,10,standard,Ameer Abdullah,45.6,2293,RB,4.04,15,DET,14,2016
10,6,standard,Michael Crabtree,47.7,1646,WR,4.06,15,OAK,14,2016
10,3,standard,Tyreek Hill,48.0,2390,WR,4.06,15,KC,14,2016
