adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
11676,0,0,0,0,0,0,0,8,872,0,67,0,0,0,0,202.2,64.0
7401,30,4659,8,3,0,24,0,0,-6,0,0,0,0,0,4,310.16,21.0
9308,0,0,0,0,0,0,0,1,200,0,27,0,0,0,0,53.0,172.0
10409,0,0,0,0,0,0,0,3,605,0,58,0,0,0,0,136.5,111.0
11695,0,0,0,0,0,0,0,1,248,0,25,0,0,0,0,55.8,168.0
10276,0,0,0,0,9,964,0,0,145,0,29,0,0,0,1,191.9,69.0
11179,0,0,0,0,0,175,0,0,12,0,1,0,0,0,0,19.7,181.0
9087,0,0,0,0,2,534,0,0,212,0,36,0,0,0,1,120.6,120.0
11229,0,0,0,0,0,19,0,2,627,0,50,0,0,0,0,126.6,115.0
8268,0,0,0,0,0,122,0,1,187,0,21,0,0,0,0,57.9,166.0
11227,0,0,0,0,0,-2,0,3,931,0,63,0,0,0,0,173.9,83.0
7236,0,0,0,0,0,0,0,12,821,0,69,0,0,0,0,223.1,51.0
11466,0,0,0,0,1,663,0,1,151,0,24,0,0,0,1,115.4,126.0
6929,11,1626,3,0,0,25,0,0,0,0,0,0,0,0,1,115.54,125.0
10930,0,0,0,0,0,0,0,10,1329,0,86,0,0,0,0,278.9,29.0
10697,27,4056,12,0,1,317,0,0,-4,0,1,0,0,0,2,328.54,14.0
11672,0,0,0,0,0,9,0,1,422,0,37,0,0,0,0,86.1,149.0
11250,0,0,0,0,0,0,0,0,37,0,3,0,0,0,0,6.7,193.0
9545,0,0,0,0,0,0,0,3,375,0,25,0,0,0,0,80.5,153.0
11214,0,0,0,0,0,0,0,2,548,1,48,0,0,0,0,116.8,122.0
7813,19,3284,6,0,1,254,0,0,0,0,0,0,0,0,2,246.76,40.0
11244,0,0,0,0,0,0,0,5,862,0,67,0,0,1,3,183.2,73.0
9467,0,0,0,0,0,14,0,3,748,0,48,0,0,0,0,142.2,107.0
11641,0,157,0,0,0,15,0,0,0,0,0,0,0,0,0,7.78,191.0
10742,0,0,0,0,0,0,0,8,395,0,29,0,0,0,0,116.5,124.0
8416,0,0,0,0,0,0,0,4,890,0,63,0,0,0,0,176.0,81.0
11679,0,0,0,0,0,35,0,12,1305,0,91,0,0,0,1,295.0,26.0
7391,30,4410,14,0,1,31,0,0,0,0,0,0,0,0,4,325.5,16.0
9064,27,3986,12,0,2,70,0,0,0,0,0,0,0,0,0,310.44,20.0
11758,0,0,0,0,0,0,0,0,23,0,2,0,0,0,0,4.3,194.0
9101,0,0,0,0,3,812,0,1,181,0,25,0,0,0,1,146.3,104.0
10077,0,0,0,0,6,820,0,1,123,0,18,0,0,0,1,152.3,99.0
9898,0,0,0,0,5,547,0,0,54,0,10,0,0,0,1,98.1,132.0
10961,0,0,0,0,0,99,0,0,217,0,18,0,0,0,0,49.6,176.0
10527,0,0,0,0,0,8,0,3,825,0,66,0,0,0,0,167.3,86.0
11747,0,0,0,0,0,38,0,0,23,0,5,0,0,0,0,11.1,189.0
10601,0,0,0,0,0,0,0,6,1210,0,76,0,0,0,1,231.0,44.0
11697,0,0,0,0,0,0,0,2,221,0,21,0,0,0,1,53.1,171.0
11640,14,2936,12,2,1,209,0,0,0,0,0,0,0,0,0,220.34,54.0
6589,11,2206,14,0,3,127,0,0,0,0,0,0,0,0,4,182.94,74.0
