byeWk,draftCnt,frmt,name,ovrlAdp,playerId,pos,rdAdp,rdCnt,team,tmCnt,year
9,6,standard,LeVeon Bell,1.8,1983,RB,1.02,15,PIT,10,2016
9,11,standard,Antonio Brown,3.4,1886,WR,1.03,15,PIT,10,2016
9,5,standard,Melvin Gordon,7.8,2282,RB,1.08,15,LAC,10,2016
6,17,standard,Ezekiel Elliott,8.5,2343,RB,1.08,15,DAL,10,2016
10,11,standard,Kareem Hunt,13.1,2450,RB,2.03,15,KC,10,2016
8,9,standard,Aaron Rodgers,14.3,1004,QB,2.04,15,GB,10,2016
8,11,standard,Jordy Nelson,19.0,1350,WR,2.09,15,GB,10,2016
8,5,standard,Todd Gurley,19.4,2280,RB,2.09,15,LAR,10,2016
8,7,standard,Leonard Fournette,19.4,2433,RB,2.09,15,JAC,10,2016
9,5,standard,Brandin Cooks,22.4,2114,WR,3.02,15,NE,10,2016
11,5,standard,Carlos Hyde,30.6,2129,RB,4.01,15,SF,10,2016
10,5,standard,Marshawn Lynch,32.0,740,RB,4.02,15,OAK,10,2016
8,5,standard,Ty Montgomery,32.0,2317,RB,4.02,15,GB,10,2016
7,11,standard,DeAndre Hopkins,35.1,1975,WR,4.05,15,HOU,10,2016
10,13,standard,Tyreek Hill,35.5,2390,WR,4.06,15,KC,10,2016
6,8,standard,A.J. Green,37.9,1795,WR,4.08,15,CIN,10,2016
11,5,standard,Jay Ajayi,41.6,2284,RB,5.02,15,MIA,10,2016
11,5,standard,Doug Martin,42.6,1907,RB,5.03,15,TB,10,2016
10,8,standard,Derek Carr,43.8,2118,QB,5.04,15,OAK,10,2016
10,6,standard,Michael Crabtree,45.7,1646,WR,5.06,15,OAK,10,2016
9,5,standard,Rob Gronkowski,50.8,1740,TE,6.01,15,NE,10,2016
9,5,standard,Stefon Diggs,53.8,2316,WR,6.04,15,MIN,10,2016
7,5,standard,Golden Tate,54.0,1730,WR,6.04,15,DET,10,2016
5,5,standard,Jordan Reed,55.4,1995,TE,6.05,15,WAS,10,2016
5,8,standard,Devonta Freeman,61.0,2144,RB,7.01,15,ATL,10,2016
8,6,standard,Sammy Watkins,63.8,2109,WR,7.04,15,LAR,10,2016
5,6,standard,Drew Brees,64.3,127,QB,7.04,15,NO,10,2016
8,5,standard,Marcus Mariota,67.6,2276,QB,7.08,15,TEN,10,2016
11,5,standard,Jarvis Landry,69.4,2132,WR,7.09,15,MIA,10,2016
11,5,standard,Pierre Garcon,70.2,1707,WR,7.10,15,SF,10,2016
8,6,standard,Randall Cobb,80.7,1806,WR,9.01,15,GB,10,2016
5,7,standard,Adrian Peterson,83.7,925,RB,9.04,15,NO,10,2016
9,5,standard,Ben Roethlisberger,85.0,1006,QB,9.05,15,PIT,10,2016
11,9,standard,DeSean Jackson,85.1,1357,WR,9.05,15,TB,10,2016
6,5,standard,Seattle Defense,89.6,1327,DEF,9.10,15,SEA,10,2016
9,7,standard,Kyle Rudolph,91.7,1799,TE,10.02,15,MIN,10,2016
10,8,standard,Justin Tucker,93.9,1962,PK,10.04,15,BAL,10,2016
10,6,standard,Kansas City Defense,95.2,1315,DEF,10.05,15,KC,10,2016
10,6,standard,Baltimore Defense,95.2,1332,DEF,10.05,15,BAL,10,2016
5,6,standard,Denver Defense,95.7,1309,DEF,10.06,15,DEN,10,2016
11,5,standard,Jonathan Stewart,104.2,1344,RB,11.04,15,CAR,10,2016
9,9,standard,Hunter Henry,108.4,2354,TE,11.08,15,LAC,10,2016
6,8,standard,Dan Bailey,136.5,1891,PK,14.07,15,DAL,10,2016
