averagePick,draftsSelectedIn,id,maxPick,minPick,name,position,status,team,TEAM_COUNT,PPR_FLG,YEAR,SRC_ADP,SRC_PLYR
2.32,1092,12171,115,1,"Johnson, David",RB,,ARI,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
3.00,1197,11192,137,1,"Bell, Le'Veon",RB,,PIT,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
4.75,1191,9988,76,1,"Brown, Antonio",WR,,PIT,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
7.10,1095,11679,114,1,"Beckham, Odell",WR,,NYG,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
8.05,1189,10271,180,1,"Jones, Julio",WR,,ATL,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
8.98,1099,11671,47,1,"Evans, Mike",WR,,TBB,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
11.41,1187,11660,126,1,"Freeman, Devonta",RB,,ATL,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
12.11,1101,10261,66,2,"Green, A.J.",WR,,CIN,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
12.47,1094,12151,76,1,"Gordon, Melvin",RB,,LAC,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
12.64,1070,7836,184,1,"Rodgers, Aaron",QB,,GBP,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
13.66,1183,9448,195,1,"McCoy, LeSean",RB,,BUF,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
14.93,1099,9118,176,3,"Nelson, Jordy",WR,,GBP,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
15.03,1097,12625,369,1,"Elliott, Ezekiel",RB,,DAL,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
18.66,1190,12652,319,3,"Thomas, Michael",WR,,NOS,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
19.55,1100,12634,256,1,"Howard, Jordan",RB,,CHI,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
19.56,1104,12175,101,1,"Cooper, Amari",WR,,OAK,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
20.32,1195,12150,80,1,"Gurley, Todd",RB,,LAR,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
20.54,1156,5848,117,1,"Brady, Tom",QB,,NEP,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
20.64,1171,12154,171,3,"Ajayi, Jay",RB,,PHI,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
20.97,1197,9902,181,1,"Gronkowski, Rob",TE,,NEP,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
22.71,1125,10302,209,1,"Murray, DeMarco",RB,,TEN,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
22.77,1103,9823,92,1,"Bryant, Dez",WR,,DAL,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
23.93,1197,11674,157,1,"Cooks, Brandin",WR,,NEP,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
26.70,1187,13129,252,5,"Fournette, Leonard",RB,R,JAC,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
27.56,1105,10729,77,3,"Hilton, T.Y.",WR,,IND,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
28.96,1102,10527,94,5,"Baldwin, Doug",WR,,SEA,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
30.20,1185,13130,254,7,"McCaffrey, Christian",RB,R,CAR,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
30.81,1159,4925,250,1,"Brees, Drew",QB,,NOS,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
31.09,1100,11232,80,1,"Hopkins, DeAndre",WR,,HOU,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
33.72,1105,10708,103,9,"Miller, Lamar",RB,,HOU,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
34.91,1097,13128,256,2,"Cook, Dalvin",RB,R,MIN,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
36.03,1190,11244,177,1,"Kelce, Travis",TE,,KCC,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
38.56,1141,9099,160,1,"Ryan, Matt",QB,,ATL,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
40.01,1105,9884,160,7,"Thomas, Demaryius",WR,,DEN,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
40.23,1106,11222,100,7,"Allen, Keenan",WR,,LAC,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
40.32,1102,8670,324,4,"Lynch, Marshawn",RB,,OAK,10,1,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
