averagePick,draftsSelectedIn,id,maxPick,minPick,name,position,status,team,TEAM_COUNT,PPR_FLG,YEAR,SRC_ADP,SRC_PLYR
2.60,944,9448,22,1,"McCoy, LeSean",RB,,PHI,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
3.33,950,9054,29,1,"Charles, Jamaal",RB,,KCC,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
4.54,950,8658,41,1,"Peterson, Adrian",RB,,MIN,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
6.55,947,8657,114,1,"Johnson, Calvin",WR,,DET,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
6.80,911,3291,93,1,"Manning, Peyton",QB,,DEN,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
7.00,951,9122,44,1,"Forte, Matt",RB,,CHI,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
9.30,946,11201,75,1,"Lacy, Eddie",RB,,GBP,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
9.68,947,9884,50,1,"Thomas, Demaryius",WR,,DEN,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
10.52,948,9925,67,1,"Graham, Jimmy",TE,,NOS,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
11.29,913,7836,147,1,"Rodgers, Aaron",QB,,GBP,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
11.52,914,4925,45,1,"Brees, Drew",QB,,NOS,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
13.29,951,9823,47,1,"Bryant, Dez",WR,,DAL,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
13.61,953,10261,66,1,"Green, A.J.",WR,,CIN,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
14.77,955,8670,74,1,"Lynch, Marshawn",RB,,SEA,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
16.87,955,10271,77,1,"Jones, Julio",WR,,ATL,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
17.01,956,8360,45,1,"Marshall, Brandon",WR,,CHI,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
18.96,960,11174,131,1,"Ball, Montee",RB,,DEN,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
19.72,954,10302,108,2,"Murray, DeMarco",RB,,DAL,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
22.64,948,11193,134,2,"Bernard, Giovani",RB,,CIN,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
23.19,955,9118,121,2,"Nelson, Jordy",WR,,GBP,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
24.21,955,9988,89,2,"Brown, Antonio",WR,,PIT,10,1,2014,https://www70.myfantasyleague.com/2014/export?TYPE=adp&JSON=1&FRANCHISES=10&IS_PPR=1,https://www70.myfantasyleague.com/2014/export?TYPE=players&JSON=1
