byeWk,draftCnt,frmt,name,ovrlAdp,playerId,pos,rdAdp,rdCnt,team,tmCnt,year
8,3234,dynasty,David Johnson,1.4,2297,RB,1.01,15,ARI,12,2010
9,3574,dynasty,LeVeon Bell,2.2,1983,RB,1.02,15,PIT,12,2010
9,2455,dynasty,Antonio Brown,4.5,1886,WR,1.04,15,PIT,12,2010
5,2426,dynasty,Julio Jones,4.9,1796,WR,1.05,15,ATL,12,2010
6,2388,dynasty,LeSean McCoy,5.4,1645,RB,1.05,15,BUF,12,2010
8,2810,dynasty,Odell Beckham Jr,7.0,2113,WR,1.07,15,NYG,12,2010
5,2831,dynasty,Devonta Freeman,7.3,2144,RB,1.07,15,ATL,12,2010
9,3056,dynasty,Melvin Gordon,7.8,2282,RB,1.08,15,LAC,12,2010
11,3163,dynasty,Mike Evans,8.2,2111,WR,1.08,15,TB,12,2010
6,2969,dynasty,A.J. Green,10.5,1795,WR,1.11,15,CIN,12,2010
8,2948,dynasty,Jordy Nelson,11.8,1350,WR,1.12,15,GB,12,2010
11,3216,dynasty,Jay Ajayi,12.1,2284,RB,1.12,15,MIA,12,2010
8,2942,dynasty,DeMarco Murray,12.6,1819,RB,2.01,15,TEN,12,2010
9,2968,dynasty,Jordan Howard,14.0,2384,RB,2.02,15,CHI,12,2010
6,3018,dynasty,Ezekiel Elliott,14.1,2343,RB,2.02,15,DAL,12,2010
5,3155,dynasty,Michael Thomas,15.3,2357,WR,2.03,15,NO,12,2010
8,3082,dynasty,Todd Gurley,17.0,2280,RB,2.05,15,LAR,12,2010
6,2858,dynasty,Dez Bryant,18.2,1727,WR,2.06,15,DAL,12,2010
9,2643,dynasty,Rob Gronkowski,19.2,1740,TE,2.07,15,NE,12,2010
8,2334,dynasty,Aaron Rodgers,20.3,1004,QB,2.08,15,GB,12,2010
10,2857,dynasty,Amari Cooper,20.9,2277,WR,2.09,15,OAK,12,2010
8,2465,dynasty,Leonard Fournette,21.2,2433,RB,2.09,15,JAC,12,2010
9,3013,dynasty,Brandin Cooks,22.2,2114,WR,2.10,15,NE,12,2010
10,2373,dynasty,Marshawn Lynch,23.7,740,RB,2.12,15,OAK,12,2010
6,3003,dynasty,Doug Baldwin,24.4,1927,WR,2.12,15,SEA,12,2010
9,2810,dynasty,Isaiah Crowell,25.1,2219,RB,3.01,15,CLE,12,2010
11,2939,dynasty,Christian McCaffrey,26.2,2434,RB,3.02,15,CAR,12,2010
11,2424,dynasty,T.Y. Hilton,27.7,1935,WR,3.04,15,IND,12,2010
9,2510,dynasty,Tom Brady,28.0,119,QB,3.04,15,NE,12,2010
9,3232,dynasty,Dalvin Cook,28.0,2432,RB,3.04,15,MIN,12,2010
7,2860,dynasty,Lamar Miller,29.9,1908,RB,3.06,15,HOU,12,2010
5,2716,dynasty,Terrelle Pryor,31.8,1868,WR,3.08,15,WAS,12,2010
11,2852,dynasty,Carlos Hyde,33.1,2129,RB,3.09,15,SF,12,2010
7,2726,dynasty,DeAndre Hopkins,33.3,1975,WR,3.09,15,HOU,12,2010
9,2911,dynasty,Keenan Allen,34.2,1992,WR,3.10,15,LAC,12,2010
5,2516,dynasty,Demaryius Thomas,36.1,1735,WR,3.12,15,DEN,12,2010
6,2482,dynasty,Joe Mixon,36.7,2438,RB,4.01,15,CIN,12,2010
8,2721,dynasty,Ty Montgomery,37.0,2317,RB,4.01,15,GB,12,2010
10,2061,dynasty,Travis Kelce,39.7,1989,TE,4.04,15,KC,12,2010
10,2651,dynasty,Alshon Jeffery,40.1,1918,WR,4.04,15,PHI,12,2010
10,2260,dynasty,Tyreek Hill,40.5,2390,WR,4.04,15,KC,12,2010
5,2097,dynasty,Drew Brees,40.8,127,QB,4.05,15,NO,12,2010
8,2678,dynasty,Davante Adams,42.8,2125,WR,4.07,15,GB,12,2010
9,2844,dynasty,Martavis Bryant,42.9,2150,WR,4.07,15,PIT,12,2010
5,2814,dynasty,CJ Anderson,44.0,2071,RB,4.08,15,DEN,12,2010
11,3282,dynasty,Kelvin Benjamin,44.6,2116,WR,4.09,15,CAR,12,2010
11,3018,dynasty,Doug Martin,46.1,1907,RB,4.10,15,TB,12,2010
10,2776,dynasty,Michael Crabtree,46.7,1646,WR,4.11,15,OAK,12,2010
10,1023,dynasty,Spencer Ware,47.2,2030,RB,4.11,15,KC,12,2010
8,2240,dynasty,Allen Robinson,50.0,2130,WR,5.02,15,JAC,12,2010
7,2654,dynasty,Ameer Abdullah,50.9,2293,RB,5.03,15,DET,12,2010
11,1797,dynasty,Greg Olsen,51.2,890,TE,5.03,15,CAR,12,2010
10,4770,dynasty,Kareem Hunt,51.2,2450,RB,5.03,15,KC,12,2010
5,1821,dynasty,Adrian Peterson,52.9,925,RB,5.05,15,NO,12,2010
5,2307,dynasty,Mark Ingram,53.7,1800,RB,5.06,15,NO,12,2010
9,1977,dynasty,Mike Gillislee,54.5,2017,RB,5.06,15,NE,12,2010
5,1820,dynasty,Jordan Reed,54.5,1995,TE,5.07,15,WAS,12,2010
5,1438,dynasty,Matt Ryan,54.8,1342,QB,5.07,15,ATL,12,2010
7,2542,dynasty,Golden Tate,56.3,1730,WR,5.08,15,DET,12,2010
8,1959,dynasty,Brandon Marshall,57.7,755,WR,5.10,15,NYG,12,2010
6,2125,dynasty,Jimmy Graham,58.1,1747,TE,5.10,15,SEA,12,2010
8,2719,dynasty,Larry Fitzgerald,59.0,374,WR,5.11,15,ARI,12,2010
11,2647,dynasty,Bilal Powell,60.5,1867,RB,5.12,15,NYJ,12,2010
8,2072,dynasty,Sammy Watkins,61.0,2109,WR,6.01,15,LAR,12,2010
10,1753,dynasty,LeGarrette Blount,63.3,1781,RB,6.03,15,PHI,12,2010
9,2788,dynasty,Stefon Diggs,64.0,2316,WR,6.04,15,MIN,12,2010
8,2192,dynasty,Derrick Henry,65.1,2350,RB,6.05,15,TEN,12,2010
6,1763,dynasty,Russell Wilson,67.7,1904,QB,6.08,15,SEA,12,2010
11,2172,dynasty,Jarvis Landry,67.9,2132,WR,6.08,15,MIA,12,2010
11,3801,dynasty,DeVante Parker,67.9,2279,WR,6.08,15,MIA,12,2010
6,1554,dynasty,Tyler Eifert,68.6,1974,TE,6.09,15,CIN,12,2010
6,2506,dynasty,Darren McFadden,69.0,1341,RB,6.09,15,DAL,12,2010
5,2630,dynasty,Jamison Crowder,69.1,2331,WR,6.09,15,WAS,12,2010
9,906,dynasty,Julian Edelman,69.2,1708,WR,6.09,15,NE,12,2010
10,1399,dynasty,Derek Carr,69.7,2118,QB,6.10,15,OAK,12,2010
5,2927,dynasty,Rob Kelley,71.3,2429,RB,6.11,15,WAS,12,2010
8,1904,dynasty,Paul Perkins,74.0,2383,RB,7.02,15,NYG,12,2010
5,2526,dynasty,Tevin Coleman,74.2,2289,RB,7.02,15,ATL,12,2010
5,2129,dynasty,Willie Snead,74.5,2223,WR,7.02,15,NO,12,2010
8,1339,dynasty,Martellus Bennett,75.7,1364,TE,7.04,15,GB,12,2010
11,5,dynasty,Marvin McNutt,78.2,2240,WR,7.06,15,CAR,12,2010
11,1567,dynasty,Jameis Winston,78.3,2275,QB,7.06,15,TB,12,2010
5,2437,dynasty,Emmanuel Sanders,78.3,1762,WR,7.06,15,DEN,12,2010
11,2317,dynasty,Frank Gore,79.4,437,RB,7.07,15,IND,12,2010
8,1420,dynasty,Delanie Walker,81.3,1201,TE,7.09,15,TEN,12,2010
8,2136,dynasty,Marcus Mariota,83.0,2276,QB,7.11,15,TEN,12,2010
10,2526,dynasty,Terrance West,83.6,2139,RB,7.12,15,BAL,12,2010
11,2141,dynasty,DeSean Jackson,84.2,1357,WR,7.12,15,TB,12,2010
10,1765,dynasty,Danny Woodhead,84.6,1776,RB,8.01,15,BAL,12,2010
5,1703,dynasty,Kirk Cousins,85.7,1902,QB,8.02,15,WAS,12,2010
6,1494,dynasty,Eddie Lacy,86.3,1987,RB,8.02,15,SEA,12,2010
11,2515,dynasty,Pierre Garcon,87.1,1707,WR,8.03,15,SF,12,2010
8,2036,dynasty,Eric Decker,87.9,1764,WR,8.04,15,TEN,12,2010
6,2168,dynasty,Thomas Rawls,88.7,2337,RB,8.05,15,SEA,12,2010
11,7,dynasty,Joe Adams,88.9,1945,WR,8.05,15,CAR,12,2010
11,1988,dynasty,Cam Newton,89.0,1794,QB,8.05,15,CAR,12,2010
9,1473,dynasty,Kyle Rudolph,90.3,1799,TE,8.06,15,MIN,12,2010
6,8,dynasty,Tony Romo,91.3,1009,QB,8.07,15,DAL,12,2010
11,1576,dynasty,Andrew Luck,92.6,1897,QB,8.09,15,IND,12,2010
10,1949,dynasty,Jeremy Maclin,93.8,1649,WR,8.10,15,BAL,12,2010
11,1453,dynasty,Jonathan Stewart,95.3,1344,RB,8.11,15,CAR,12,2010
