averagePick,draftsSelectedIn,id,maxPick,minPick,name,position,status,team,TEAM_COUNT,PPR_FLG,YEAR,SRC_ADP,SRC_PLYR
3.17,196,11192,20,1,"Bell, Le'Veon",RB,,PIT,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
5.60,198,9988,19,1,"Brown, Antonio",WR,,PIT,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
6.21,197,11201,125,1,"Lacy, Eddie",RB,,GBP,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
6.22,197,8658,49,1,"Peterson, Adrian",RB,,MIN,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
7.17,196,9054,30,1,"Charles, Jamaal",RB,,KCC,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
8.09,188,10695,57,1,"Luck, Andrew",QB,,IND,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
9.73,196,9823,56,1,"Bryant, Dez",WR,,DAL,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
11.69,195,10271,33,1,"Jones, Julio",WR,,ATL,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
11.80,188,7836,55,1,"Rodgers, Aaron",QB,,GBP,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
11.99,195,11679,31,1,"Beckham, Odell",WR,,NYG,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
12.07,197,8670,52,2,"Lynch, Marshawn",RB,,FA*,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
12.90,197,9902,40,1,"Gronkowski, Rob",TE,,NEP,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
12.94,197,9884,31,2,"Thomas, Demaryius",WR,,DEN,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
15.96,196,11454,49,3,"Anderson, C.J.",RB,,DEN,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
16.87,197,9122,50,4,"Forte, Matt",RB,,NYJ,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
16.97,197,8657,41,7,"Johnson, Calvin",WR,,FA,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
17.35,195,10302,50,3,"Murray, DeMarco",RB,,TEN,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
20.28,197,10261,47,5,"Green, A.J.",WR,,CIN,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
20.44,197,11654,55,1,"Hill, Jeremy",RB,,CIN,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
21.37,197,10308,123,5,"Cobb, Randall",WR,,GBP,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
21.78,196,9448,55,4,"McCoy, LeSean",RB,,BUF,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
25.42,197,10729,64,8,"Hilton, T.Y.",WR,,IND,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
27.69,197,10722,63,11,"Jeffery, Alshon",WR,,CHI,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
29.14,195,11671,81,5,"Evans, Mike",WR,,TBB,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
30.34,197,11674,75,3,"Cooks, Brandin",WR,,NOS,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
30.56,197,9925,65,10,"Graham, Jimmy",TE,,SEA,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
31.30,197,9278,146,6,"Forsett, Justin",RB,,DEN,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
33.77,197,11232,103,10,"Hopkins, DeAndre",WR,,HOU,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
34.20,197,10708,108,10,"Miller, Lamar",RB,,HOU,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
35.48,196,9918,97,21,"Sanders, Emmanuel",WR,,DEN,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
35.80,195,11676,125,7,"Matthews, Jordan",WR,,PHI,14,1,2016,https://www70.myfantasyleague.com/2016/export?TYPE=adp&JSON=1&FRANCHISES=14&IS_PPR=1,https://www70.myfantasyleague.com/2016/export?TYPE=players&JSON=1
