averagePick,draftsSelectedIn,id,maxPick,minPick,name,position,status,team,TEAM_COUNT,PPR_FLG,YEAR,SRC_ADP,SRC_PLYR
2.82,778,12171,154,1,"Johnson, David",RB,,ARI,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
2.83,802,11192,110,1,"Bell, Le'Veon",RB,,PIT,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
4.78,802,9988,111,1,"Brown, Antonio",WR,,PIT,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
7.82,801,10271,112,1,"Jones, Julio",WR,,ATL,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
8.72,778,11679,120,1,"Beckham, Odell",WR,,NYG,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
10.62,799,11660,115,1,"Freeman, Devonta",RB,,ATL,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
11.15,773,11671,117,1,"Evans, Mike",WR,,TBB,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
11.38,775,12151,116,1,"Gordon, Melvin",RB,,LAC,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
11.42,801,9448,115,1,"McCoy, LeSean",RB,,BUF,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
11.53,751,7836,118,1,"Rodgers, Aaron",QB,,GBP,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
14.23,779,12625,121,1,"Elliott, Ezekiel",RB,,DAL,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
14.63,780,10261,119,1,"Green, A.J.",WR,,CIN,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
15.72,778,9118,113,1,"Nelson, Jordy",WR,,GBP,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
17.32,800,12154,129,2,"Ajayi, Jay",RB,,PHI,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
18.45,771,5848,128,1,"Brady, Tom",QB,,NEP,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
18.64,770,12634,179,3,"Howard, Jordan",RB,,CHI,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
20.62,809,12150,132,1,"Gurley, Todd",RB,,LAR,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
20.82,804,9902,134,1,"Gronkowski, Rob",TE,,NEP,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
21.04,786,10302,187,3,"Murray, DeMarco",RB,,TEN,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
21.06,803,12652,204,4,"Thomas, Michael",WR,,NOS,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
23.41,783,12175,125,4,"Cooper, Amari",WR,,OAK,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
24.12,783,9823,123,2,"Bryant, Dez",WR,,DAL,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
25.27,806,13129,164,2,"Fournette, Leonard",RB,R,JAC,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
27.69,808,11674,126,5,"Cooks, Brandin",WR,,NEP,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
27.92,776,4925,140,1,"Brees, Drew",QB,,NOS,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
31.56,781,10729,146,7,"Hilton, T.Y.",WR,,IND,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
32.34,784,10708,171,2,"Miller, Lamar",RB,,HOU,12,0,2017,https://www70.myfantasyleague.com/2017/export?TYPE=adp&JSON=1&FRANCHISES=12&IS_PPR=0,https://www70.myfantasyleague.com/2017/export?TYPE=players&JSON=1
