plyrId,avgPick,draftCnt,totDrafts,pprFlg,year
11192,3.39,3175,3163,1,2015
9988,4.57,3184,3163,1,2015
11201,6.52,3183,3163,1,2015
8658,6.81,3187,3163,1,2015
9054,8.02,3182,3163,1,2015
9823,8.33,3184,3163,1,2015
10271,8.99,3183,3163,1,2015
11679,9.70,3184,3163,1,2015
9884,11.07,3187,3163,1,2015
10695,11.34,3143,3163,1,2015
9902,11.73,3186,3163,1,2015
8670,15.18,3179,3163,1,2015
8657,15.93,3185,3163,1,2015
7836,16.63,3145,3163,1,2015
11454,17.66,3188,3163,1,2015
10261,17.85,3186,3163,1,2015
9122,18.15,3186,3163,1,2015
10308,18.96,3190,3163,1,2015
10302,19.05,3187,3163,1,2015
11654,20.65,3186,3163,1,2015
9448,22.79,3185,3163,1,2015
10729,24.39,3188,3163,1,2015
10722,25.03,3187,3163,1,2015
11671,26.24,3180,3163,1,2015
11674,27.40,3186,3163,1,2015
10272,30.57,222,3163,1,2015
11232,30.71,3188,3163,1,2015
9925,30.95,3184,3163,1,2015
9278,32.33,3181,3163,1,2015
9118,32.60,1488,3163,1,2015
11676,32.97,3184,3163,1,2015
9918,33.78,3188,3163,1,2015
10708,33.80,3184,3163,1,2015
10276,39.53,3188,3163,1,2015
12151,39.54,3180,3163,1,2015
12175,41.47,3179,3163,1,2015
7877,42.99,3176,3163,1,2015
10703,44.23,3145,3163,1,2015
11657,44.49,3185,3163,1,2015
11222,44.70,3186,3163,1,2015
11390,46.09,3188,3163,1,2015
9831,46.26,3189,3163,1,2015
9662,46.68,3187,3163,1,2015
10870,48.53,3181,3163,1,2015
11673,48.69,1319,3163,1,2015
3291,50.45,3099,3163,1,2015
11670,51.66,3181,3163,1,2015
12150,51.88,3175,3163,1,2015
6931,52.15,3135,3163,1,2015
11244,52.33,3179,3163,1,2015
11680,52.44,3189,3163,1,2015
8687,53.81,3188,3163,1,2015
9436,55.43,3189,3163,1,2015
11175,55.66,3176,3163,1,2015
12155,56.15,3174,3163,1,2015
4925,56.87,3147,3163,1,2015
9690,57.92,3164,3163,1,2015
7401,58.18,3149,3163,1,2015
10773,58.34,226,3163,1,2015
11200,59.08,3144,3163,1,2015
8360,60.76,3190,3163,1,2015
12153,61.62,3177,3163,1,2015
9101,63.38,3182,3163,1,2015
11678,64.18,3175,3163,1,2015
11675,65.27,3175,3163,1,2015
9822,66.34,3161,3163,1,2015
9099,67.59,3147,3163,1,2015
11688,67.81,3171,3163,1,2015
12181,68.80,3168,3163,1,2015
9075,68.97,3181,3163,1,2015
10768,69.16,228,3163,1,2015
10709,70.60,3181,3163,1,2015
9044,71.44,3178,3163,1,2015
11193,73.66,3173,3163,1,2015
5848,80.53,3148,3163,1,2015
7260,80.99,3138,3163,1,2015
9431,81.80,3142,3163,1,2015
7873,82.10,3161,3163,1,2015
11728,84.03,225,3163,1,2015
10273,85.38,3142,3163,1,2015
11409,86.08,3146,3163,1,2015
9525,86.24,3167,3163,1,2015
10697,86.85,3140,3163,1,2015
10269,87.77,216,3163,1,2015
12152,88.83,3141,3163,1,2015
10077,89.76,3174,3163,1,2015
12177,90.11,1396,3163,1,2015
10775,90.73,227,3163,1,2015
10372,90.99,3126,3163,1,2015
