adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
12471,0,0,0,0,0,0,0,5,397,2,38,0,0,0,0,111.7,155.0
12846,0,0,0,0,0,360,0,0,28,0,4,0,0,0,0,42.8,220.0
12208,0,0,0,0,0,0,0,0,141,0,9,0,0,0,0,23.1,248.0
11409,0,0,0,0,0,0,0,0,232,0,20,0,0,0,0,43.2,219.0
12390,0,0,0,0,1,28,0,0,5,0,1,0,0,0,0,10.3,264.0
11696,0,0,0,0,0,0,0,5,584,0,59,0,0,0,1,145.4,127.0
10714,0,0,0,0,7,164,0,1,179,0,26,0,0,0,0,108.3,158.0
12663,0,0,0,0,0,0,0,2,209,0,16,0,0,0,1,46.9,217.0
12773,0,0,0,0,0,19,0,0,46,0,7,0,0,0,0,13.5,258.0
12845,0,0,0,0,1,265,0,0,62,0,10,0,0,0,0,48.7,216.0
9176,0,0,0,0,0,0,0,5,584,0,59,0,0,0,1,145.4,127.0
11682,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1.8,280.0
12785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,283.0
12809,0,0,0,0,0,0,0,0,88,0,7,0,0,0,1,13.8,256.0
12673,0,0,0,0,0,0,0,0,186,0,19,0,0,1,0,43.6,218.0
12681,0,0,0,0,0,0,0,1,122,0,16,0,0,0,0,34.2,236.0
12633,0,0,0,0,10,997,0,2,419,0,41,0,0,0,2,250.6,39.0
12871,0,0,0,0,0,24,0,0,2,0,1,0,0,0,0,3.6,274.0
9452,0,0,0,0,1,60,0,2,114,0,6,0,0,0,0,41.4,223.0
12615,0,96,1,0,0,-1,0,0,0,0,0,0,0,0,0,5.74,272.0
12164,0,0,0,0,0,19,0,0,22,0,4,0,0,0,0,8.1,267.0
11786,0,0,0,0,0,0,0,1,71,0,8,0,0,0,0,21.1,249.0
12777,0,0,0,0,0,0,0,0,205,0,18,0,0,0,0,38.5,227.0
10735,0,0,0,0,0,0,0,3,564,0,41,0,0,0,0,115.4,153.0
11754,0,0,0,0,0,0,0,3,281,0,26,0,0,0,0,72.1,197.0
12182,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,3.0,277.0
10318,0,0,0,0,0,0,0,2,499,0,50,0,0,0,1,109.9,156.0
11758,0,0,0,0,0,0,0,0,76,0,8,0,0,0,0,15.6,253.0
11890,0,0,0,0,1,50,0,2,279,0,31,0,0,0,0,81.9,189.0
12183,0,0,0,0,0,0,0,0,32,0,5,0,0,0,1,6.2,271.0
11225,0,0,0,0,0,43,0,2,453,0,52,1,0,0,0,119.6,149.0
12637,0,0,0,0,1,223,0,0,28,0,5,0,0,0,0,36.1,230.0
12212,0,0,0,0,0,0,0,0,92,0,10,0,0,0,0,19.2,251.0
11218,0,0,0,0,0,48,0,0,117,0,8,0,0,0,0,24.5,247.0
12680,0,0,0,0,0,0,0,0,32,0,3,0,0,0,0,6.2,270.0
11466,0,0,0,0,1,95,0,0,0,0,0,0,0,0,0,15.5,254.0
