plyrId,avgPick,draftCnt,totDrafts,pprFlg,year,firstNm,lastNm,pos,tm,adpRank,adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
11211,122.44,657,725,0,2015,Terrance,Williams,WR,DAL,115.0,11211,0,0,0,0,0,0,0,3,840,0,52,0,0,0,0,154.0,108.0
9843,122.9,620,725,0,2015,Brandon,LaFell,WR,NEP,116.0,9843,0,0,0,0,0,9,0,0,515,0,37,0,0,0,0,89.4,154.0
12205,124.67,645,725,0,2015,Devin,Funchess,WR,CAR,117.0,12205,0,0,0,0,0,0,0,5,473,0,31,0,0,0,1,106.3,143.0
12157,124.98,649,725,0,2015,Duke,Johnson,RB,CLE,118.0,12157,0,0,0,0,0,379,0,2,534,0,61,0,0,0,0,164.3,96.0
11250,128.8,599,725,0,2015,Tyler,Eifert,TE,CIN,119.0,11250,0,0,0,0,0,0,0,13,615,0,52,0,0,0,0,191.5,76.0
10720,129.33,623,725,0,2015,Kendall,Wright,WR,TEN,120.0,10720,0,0,0,0,0,17,0,3,408,0,36,0,0,0,0,96.5,150.0
7236,130.5,624,725,0,2015,Antonio,Gates,TE,SDC,121.0,7236,0,0,0,0,0,0,0,5,630,0,56,0,0,0,0,149.0,110.0
9064,130.66,666,725,0,2015,Joe,Flacco,QB,BAL,122.0,9064,14,2804,12,1,3,23,0,0,0,0,0,0,0,0,2,206.46,67.0
12176,130.83,578,725,0,2015,DeVante,Parker,WR,MIA,123.0,12176,0,0,0,0,0,0,0,3,494,0,26,0,0,0,0,93.4,152.0
7942,133.48,644,725,0,2015,Darren,Sproles,RB,PHI,124.0,7942,0,0,0,0,3,317,0,1,388,0,55,0,2,0,0,161.5,100.0
11229,135.69,588,725,0,2015,Markus,Wheaton,WR,PIT,125.0,11229,0,0,0,0,0,0,0,5,749,1,44,0,0,0,0,150.9,109.0
9693,136.4,627,725,0,2015,Danny,Woodhead,RB,SDC,127.0,9693,0,0,0,0,3,335,0,6,756,0,81,0,0,0,0,244.1,43.0
10297,136.98,621,725,0,2015,Colin,Kaepernick,QB,SFO,129.0,10297,4,828,1,0,0,5,0,0,0,0,0,0,0,0,2,47.62,173.0
10312,137.71,567,725,0,2015,Kyle,Rudolph,TE,MIN,130.0,10312,0,0,0,0,0,0,0,5,495,0,49,0,0,0,0,128.5,121.0
6929,138.07,653,725,0,2015,Carson,Palmer,QB,ARI,131.0,6929,35,4671,11,0,1,24,0,0,0,0,0,0,0,0,2,353.24,7.0
9250,138.33,604,725,0,2015,Pierre,Garcon,WR,WAS,132.0,9250,0,0,0,0,0,0,0,6,777,0,72,0,0,0,0,185.7,79.0
9120,140.78,568,725,0,2015,Eddie,Royal,WR,CHI,134.0,9120,0,4,0,0,0,4,0,2,450,0,36,0,0,0,0,93.56,151.0
10735,143.51,557,725,0,2015,Brian,Quick,WR,STL,135.0,10735,0,0,0,0,0,0,0,0,102,0,10,0,0,0,0,20.2,198.0
11529,144.19,518,725,0,2015,Josh,Hill,TE,NOS,136.0,11529,0,0,0,0,0,0,0,2,120,0,16,0,0,0,0,40.0,182.0
8268,145.84,569,725,0,2015,DeAngelo,Williams,RB,PIT,137.0,8268,0,0,0,0,0,59,0,1,142,0,21,0,0,0,1,45.1,175.0
12171,146.16,476,725,0,2015,David,Johnson,RB,ARI,138.0,12171,0,0,0,0,8,581,0,4,457,0,36,1,0,0,1,215.8,56.0
12140,148.59,515,725,0,2015,Jameis,Winston,QB,TBB,141.0,12140,22,4044,15,0,6,210,0,0,0,0,0,0,0,0,2,332.76,13.0
10313,149.13,543,725,0,2015,Andy,Dalton,QB,CIN,142.0,10313,25,3250,7,0,3,141,0,0,0,0,0,0,0,0,2,272.1,30.0
